#name1	zstart1	end1	size1	name2	zstart2+	end2+	strand2	size2	identity	idPct	score	length2
Ntab_gi	0	4950	80000	Cphe_gi	89402	94380	+	94380	3871/4622	83.8%	254386	4978
Ntab_gi	5051	9065	80000	Cphe_gi	0	3288	+	94380	2342/3004	78.0%	88459	3288
Ntab_gi	9451	9543	80000	Cphe_gi	3277	3369	+	94380	72/92	78.3%	5107	92
Ntab_gi	10050	10607	80000	Cphe_gi	3327	3874	+	94380	429/518	82.8%	24901	547
Ntab_gi	16140	17327	80000	Cphe_gi	3841	4993	+	94380	982/1121	87.6%	73846	1152
Ntab_gi	17736	17986	80000	Cphe_gi	5041	5283	+	94380	188/231	81.4%	12557	242
Ntab_gi	18706	18917	80000	Cphe_gi	5276	5477	+	94380	149/198	75.3%	8282	201
Ntab_gi	25191	26698	80000	Cphe_gi	5396	6948	+	94380	1245/1476	84.3%	90165	1552
Ntab_gi	28336	28906	80000	Cphe_gi	6925	7401	+	94380	361/443	81.5%	17806	476
Ntab_gi	31833	32387	80000	Cphe_gi	7368	7951	+	94380	478/546	87.5%	35538	583
Ntab_gi	33114	33334	80000	Cphe_gi	7964	8206	+	94380	173/219	79.0%	9674	242
Ntab_gi	36849	37672	80000	Cphe_gi	8190	8952	+	94380	610/734	83.1%	36050	762
Ntab_gi	38018	40223	80000	Cphe_gi	8960	10773	+	94380	1354/1774	76.3%	68956	1813
Ntab_gi	41688	42535	80000	Cphe_gi	10017	10869	+	94380	684/819	83.5%	48632	852
Ntab_gi	45445	45484	80000	Cphe_gi	50000	50039	+	94380	38/39	97.4%	3598	39
Ntab_gi	47001	48623	80000	Cphe_gi	10859	12438	+	94380	1284/1513	84.9%	87901	1579
Ntab_gi	49247	50512	80000	Cphe_gi	12479	13764	+	94380	980/1177	83.3%	60012	1285
Ntab_gi	54524	54759	80000	Cphe_gi	13766	14022	+	94380	192/232	82.8%	12686	256
Ntab_gi	57141	61929	80000	Cphe_gi	13993	18603	+	94380	3693/4276	86.4%	255810	4610
Ntab_gi	62314	63115	80000	Cphe_gi	18599	19341	+	94380	560/681	82.2%	32441	742
Ntab_gi	66409	67649	80000	Cphe_gi	19329	20195	+	94380	676/833	81.2%	32987	866
Ntab_gi	68698	74659	80000	Cphe_gi	20219	25958	+	94380	4718/5496	85.8%	323806	5739
Ntab_gi2	1446	8479	75943	Cphe_gi	25988	33000	+	94380	5876/6739	87.2%	448839	7012
Ntab_gi2	8492	24631	75943	Cphe_gi	37651	53656	+	94380	14980/15656	95.7%	1305343	16005
Ntab_gi2	13893	14000	75943	Cphe_gi	42999	43130	+	94380	82/104	78.8%	3907	131
Ntab_gi2	25197	31050	75943	Cphe_gi	53647	59517	+	94380	5510/5710	96.5%	492811	5870
Ntab_gi2	30915	31142	75943	Cphe_gi	59809	60036	+	94380	165/222	74.3%	8619	227
Ntab_gi2	35009	35451	75943	Cphe_gi	60097	60522	+	94380	299/403	74.2%	14398	425
Ntab_gi2	35776	36496	75943	Cphe_gi	60464	61195	+	94380	502/666	75.4%	22634	731
Ntab_gi2	42272	42313	75943	Cphe_gi	49998	50039	+	94380	39/41	95.1%	3649	41
Ntab_gi2	44995	57432	75943	Cphe_gi	61242	73382	+	94380	10266/11790	87.1%	784504	12140
Ntab_gi2	57998	74137	75943	Cphe_gi	73373	89378	+	94380	14980/15656	95.7%	1305343	16005
Ntab_gi2	68629	68736	75943	Cphe_gi	83899	84030	+	94380	82/104	78.8%	3907	131
Ntab_gi2	74150	74493	75943	Cphe_gi	94028	94380	+	94380	300/341	88.0%	23321	352
Ntab_gi	0	4539	80000	Cphe_gi	33115	37627	-	94380	3651/4267	85.6%	257500	4512
Ntab_gi	45445	45484	80000	Cphe_gi	76990	77029	-	94380	38/39	97.4%	3598	39
Ntab_gi	54592	54664	80000	Cphe_gi	12335	12407	-	94380	52/72	72.2%	3729	72
Ntab_gi2	8136	8479	75943	Cphe_gi	94028	94380	-	94380	300/341	88.0%	23321	352
Ntab_gi2	8492	24631	75943	Cphe_gi	73373	89378	-	94380	14980/15656	95.7%	1305343	16005
Ntab_gi2	13893	14000	75943	Cphe_gi	83899	84030	-	94380	82/104	78.8%	3907	131
Ntab_gi2	25197	32096	75943	Cphe_gi	66483	73382	-	94380	6334/6702	94.5%	550336	6899
Ntab_gi2	42272	42313	75943	Cphe_gi	76990	77031	-	94380	39/41	95.1%	3649	41
Ntab_gi2	51487	51714	75943	Cphe_gi	59809	60036	-	94380	165/222	74.3%	8619	227
Ntab_gi2	51579	57432	75943	Cphe_gi	53647	59517	-	94380	5510/5710	96.5%	492811	5870
Ntab_gi2	57998	74137	75943	Cphe_gi	37651	53656	-	94380	14980/15656	95.7%	1305343	16005
Ntab_gi2	68629	68736	75943	Cphe_gi	42999	43130	-	94380	82/104	78.8%	3907	131
Ntab_gi2	74150	75943	75943	Cphe_gi	31173	33000	-	94380	1643/1781	92.3%	139952	1827
