#name1	zstart1	end1	size1	name2	zstart2+	end2+	strand2	size2	identity	idPct	score	length2
Same_gi	0	2762	160910	Evir_gi	19888	22510	+	70028	2398/2586	92.7%	193746	2622
Same_gi	2755	9475	160910	Evir_gi	23229	29891	+	70028	5317/6161	86.3%	369103	6662
Same_gi	8623	9133	160910	Evir_gi	29147	29618	+	70028	418/457	91.5%	30234	471
Same_gi	10741	23787	160910	Evir_gi	29860	41711	+	70028	10746/11562	92.9%	847846	11851
Same_gi	26295	30943	160910	Evir_gi	42663	47032	+	70028	2948/4007	73.6%	128608	4369
Same_gi	31886	32807	160910	Evir_gi	47115	48171	+	70028	702/888	79.1%	38360	1056
Same_gi	43347	44220	160910	Evir_gi	41656	42514	+	70028	645/816	79.0%	38312	858
Same_gi	52367	65413	160910	Evir_gi	48116	59967	+	70028	10746/11562	92.9%	847846	11851
Same_gi	66679	73399	160910	Evir_gi	59936	66598	+	70028	5317/6161	86.3%	369103	6662
Same_gi	67021	67531	160910	Evir_gi	60209	60680	+	70028	418/457	91.5%	30234	471
Same_gi	73392	76229	160910	Evir_gi	67317	70028	+	70028	2460/2660	92.5%	197126	2711
Same_gi	103032	103335	160910	Evir_gi	7382	7695	+	70028	231/285	81.1%	12384	313
Same_gi	106298	106618	160910	Evir_gi	7765	8063	+	70028	223/279	79.9%	11211	298
Same_gi	0	2762	160910	Evir_gi	67317	69939	-	70028	2398/2586	92.7%	193746	2622
Same_gi	2755	9475	160910	Evir_gi	59936	66598	-	70028	5317/6161	86.3%	369103	6662
Same_gi	8623	9133	160910	Evir_gi	60209	60680	-	70028	418/457	91.5%	30234	471
Same_gi	10741	23787	160910	Evir_gi	48116	59967	-	70028	10746/11562	92.9%	847846	11851
Same_gi	31934	32807	160910	Evir_gi	41656	42514	-	70028	645/816	79.0%	38312	858
Same_gi	36541	36646	160910	Evir_gi	42503	42608	-	70028	96/105	91.4%	8346	105
Same_gi	43347	44268	160910	Evir_gi	47115	48171	-	70028	702/888	79.1%	38360	1056
Same_gi	45211	49859	160910	Evir_gi	42663	47032	-	70028	2952/4011	73.6%	129468	4369
Same_gi	52367	65413	160910	Evir_gi	29860	41711	-	70028	10746/11562	92.9%	847846	11851
Same_gi	66679	73399	160910	Evir_gi	23229	29891	-	70028	5317/6161	86.3%	369103	6662
Same_gi	67021	67531	160910	Evir_gi	29147	29618	-	70028	418/457	91.5%	30234	471
Same_gi	73392	81484	160910	Evir_gi	15143	22510	-	70028	6203/7194	86.2%	432396	7367
Same_gi	76905	77205	160910	Evir_gi	19241	19542	-	70028	260/300	86.7%	21014	301
Same_gi	87805	89325	160910	Evir_gi	13758	15085	-	70028	1032/1283	80.4%	60499	1327
Same_gi	89272	92127	160910	Evir_gi	10685	13228	-	70028	1989/2457	81.0%	117280	2543
Same_gi	92958	93429	160910	Evir_gi	10043	10583	-	70028	381/458	83.2%	21832	540
Same_gi	100740	101410	160910	Evir_gi	9174	9845	-	70028	573/670	85.5%	45849	671
Same_gi	101949	102331	160910	Evir_gi	8811	9187	-	70028	278/373	74.5%	17107	376
Same_gi	112243	112506	160910	Evir_gi	7133	7372	-	70028	188/234	80.3%	11204	239
Same_gi	114201	115571	160910	Evir_gi	5909	7208	-	70028	980/1202	81.5%	55881	1299
Same_gi	123480	124191	160910	Evir_gi	5185	5898	-	70028	603/686	87.9%	43602	713
Same_gi	125093	125365	160910	Evir_gi	4916	5161	-	70028	192/227	84.6%	10972	245
Same_gi	129738	130266	160910	Evir_gi	4382	4962	-	70028	429/508	84.4%	27667	580
Same_gi	130905	131269	160910	Evir_gi	4044	4379	-	70028	241/329	73.3%	10157	335
Same_gi	144448	145325	160910	Evir_gi	3093	3969	-	70028	722/862	83.8%	55855	876
Same_gi	150452	150558	160910	Evir_gi	2700	2802	-	70028	84/102	82.4%	5768	102
Same_gi	152139	152312	160910	Evir_gi	2519	2693	-	70028	141/169	83.4%	10042	174
Same_gi	153003	153640	160910	Evir_gi	2120	2608	-	70028	382/471	81.1%	13650	488
Same_gi	157354	159298	160910	Evir_gi	0	2108	-	70028	1472/1877	78.4%	82709	2108
Same_gi	160152	160901	160910	Evir_gi	0	517	-	70028	378/492	76.8%	9118	517
