#name1	zstart1	end1	size1	name2	zstart2+	end2+	strand2	size2	identity	idPct	score	length2
Evir_gi	0	517	70028	Lphi_gi	548	1022	+	155103	302/418	72.2%	7386	474
Evir_gi	0	115	70028	Lphi_gi	17	145	+	155103	97/115	84.3%	6427	128
Evir_gi	0	2108	70028	Lphi_gi	1882	3807	+	155103	1466/1870	78.4%	83907	1925
Evir_gi	2111	2608	70028	Lphi_gi	7495	8128	+	155103	370/476	77.7%	13276	633
Evir_gi	2540	2693	70028	Lphi_gi	8885	9050	+	155103	126/146	86.3%	9076	165
Evir_gi	2700	2802	70028	Lphi_gi	10756	10862	+	155103	84/102	82.4%	5934	106
Evir_gi	2859	3061	70028	Lphi_gi	11465	11646	+	155103	149/174	85.6%	9547	181
Evir_gi	3105	3969	70028	Lphi_gi	16479	17349	+	155103	743/855	86.9%	60314	870
Evir_gi	4038	4379	70028	Lphi_gi	30475	30852	+	155103	238/337	70.6%	9800	377
Evir_gi	4382	4960	70028	Lphi_gi	31506	32051	+	155103	441/513	86.0%	28156	545
Evir_gi	4933	5165	70028	Lphi_gi	36430	36680	+	155103	190/232	81.9%	11625	250
Evir_gi	5185	5898	70028	Lphi_gi	37530	38255	+	155103	607/681	89.1%	44003	725
Evir_gi	5951	7192	70028	Lphi_gi	46152	47490	+	155103	962/1184	81.2%	57086	1338
Evir_gi	7124	7373	70028	Lphi_gi	49096	49377	+	155103	195/239	81.6%	9965	281
Evir_gi	7380	7679	70028	Lphi_gi	53629	53927	+	155103	216/269	80.3%	12058	298
Evir_gi	7765	8063	70028	Lphi_gi	56881	57201	+	155103	224/279	80.3%	11241	320
Evir_gi	8224	9845	70028	Lphi_gi	58660	60258	+	155103	1379/1584	87.1%	111103	1598
Evir_gi	10043	10738	70028	Lphi_gi	67826	68500	+	155103	474/586	80.9%	21616	674
Evir_gi	10676	15101	70028	Lphi_gi	69121	73950	+	155103	3636/4273	85.1%	239028	4829
Evir_gi	15143	29891	70028	Lphi_gi	80311	95903	+	155103	13094/14452	90.6%	1031448	15592
Evir_gi	19335	19497	70028	Lphi_gi	84709	84871	+	155103	150/162	92.6%	13176	162
Evir_gi	26855	26973	70028	Lphi_gi	92775	92893	+	155103	87/115	75.7%	4666	118
Evir_gi	29896	42494	70028	Lphi_gi	97205	111062	+	155103	11500/12313	93.4%	916867	13857
Evir_gi	32152	32195	70028	Lphi_gi	121250	121293	+	155103	39/43	90.7%	3394	43
Evir_gi	42663	59931	70028	Lphi_gi	124628	143492	+	155103	15223/16823	90.5%	1167907	18864
Evir_gi	59936	69980	70028	Lphi_gi	144794	155103	+	155103	9227/9859	93.6%	775986	10309
Evir_gi	62854	62972	70028	Lphi_gi	147804	147922	+	155103	87/115	75.7%	4666	118
Evir_gi	19847	29891	70028	Lphi_gi	144794	155103	-	155103	9227/9859	93.6%	775986	10309
Evir_gi	26855	26973	70028	Lphi_gi	147804	147922	-	155103	87/115	75.7%	4666	118
Evir_gi	29896	42494	70028	Lphi_gi	129635	143492	-	155103	11500/12313	93.4%	916867	13857
Evir_gi	42503	42744	70028	Lphi_gi	115005	115217	-	155103	166/212	78.3%	8879	212
Evir_gi	46913	59931	70028	Lphi_gi	97205	111457	-	155103	11780/12683	92.9%	929445	14252
Evir_gi	57632	57675	70028	Lphi_gi	121250	121293	-	155103	39/43	90.7%	3394	43
Evir_gi	59936	70028	70028	Lphi_gi	85552	95903	-	155103	9262/9901	93.5%	778278	10351
Evir_gi	62854	62972	70028	Lphi_gi	92775	92893	-	155103	87/115	75.7%	4666	118
