#name1	zstart1	end1	size1	name2	zstart2+	end2+	strand2	size2	identity	idPct	score	length2
Oeur_gi	0	155888	155888	Oeur_gi	0	155888	+	155888	155888/155888	100.0%	14716160	155888
Oeur_gi	39222	41196	155888	Oeur_gi	41437	43399	+	155888	1150/1865	61.7%	28446	1962
Oeur_gi	41437	43399	155888	Oeur_gi	39222	41196	+	155888	1150/1865	61.7%	28446	1974
Oeur_gi	45441	45490	155888	Oeur_gi	122019	122068	+	155888	43/49	87.8%	3741	49
Oeur_gi	45451	45490	155888	Oeur_gi	100774	100813	+	155888	37/39	94.9%	3467	39
Oeur_gi	84123	84209	155888	Oeur_gi	121990	122084	+	155888	67/86	77.9%	4011	94
Oeur_gi	93753	93811	155888	Oeur_gi	93786	93847	+	155888	53/58	91.4%	4064	61
Oeur_gi	93753	93883	155888	Oeur_gi	93768	93901	+	155888	98/130	75.4%	5962	133
Oeur_gi	93768	93901	155888	Oeur_gi	93753	93883	+	155888	98/130	75.4%	5962	130
Oeur_gi	93786	93847	155888	Oeur_gi	93753	93811	+	155888	53/58	91.4%	4064	58
Oeur_gi	96219	96287	155888	Oeur_gi	146168	146236	+	155888	57/64	89.1%	3556	68
Oeur_gi	100740	100813	155888	Oeur_gi	121994	122068	+	155888	57/73	78.1%	4051	74
Oeur_gi	100774	100813	155888	Oeur_gi	45451	45490	+	155888	37/39	94.9%	3467	39
Oeur_gi	110574	110635	155888	Oeur_gi	131820	131881	+	155888	58/61	95.1%	5125	61
Oeur_gi	121990	122084	155888	Oeur_gi	84123	84209	+	155888	67/86	77.9%	4011	86
Oeur_gi	121994	122068	155888	Oeur_gi	100740	100813	+	155888	57/73	78.1%	4051	73
Oeur_gi	122019	122068	155888	Oeur_gi	45441	45490	+	155888	43/49	87.8%	3741	49
Oeur_gi	131820	131881	155888	Oeur_gi	110574	110635	+	155888	58/61	95.1%	5125	61
Oeur_gi	146168	146236	155888	Oeur_gi	96219	96287	+	155888	57/64	89.1%	3556	68
Oeur_gi	148554	148687	155888	Oeur_gi	148572	148702	+	155888	98/130	75.4%	5962	130
Oeur_gi	148572	148702	155888	Oeur_gi	148554	148687	+	155888	98/130	75.4%	5962	133
Oeur_gi	148608	148669	155888	Oeur_gi	148644	148702	+	155888	53/58	91.4%	4064	58
Oeur_gi	148644	148702	155888	Oeur_gi	148608	148669	+	155888	53/58	91.4%	4064	61
Oeur_gi	45451	45490	155888	Oeur_gi	141642	141681	-	155888	37/39	94.9%	3467	39
Oeur_gi	48364	48436	155888	Oeur_gi	54371	54443	-	155888	52/72	72.2%	3738	72
Oeur_gi	54371	54443	155888	Oeur_gi	48364	48436	-	155888	52/72	72.2%	3738	72
Oeur_gi	56713	56781	155888	Oeur_gi	56713	56781	-	155888	54/68	79.4%	4090	68
Oeur_gi	76899	76947	155888	Oeur_gi	76899	76947	-	155888	44/48	91.7%	3876	48
Oeur_gi	86582	112332	155888	Oeur_gi	130123	155888	-	155888	25748/25750	100.0%	2442207	25765
Oeur_gi	93753	93811	155888	Oeur_gi	148608	148669	-	155888	53/58	91.4%	4064	61
Oeur_gi	93753	93883	155888	Oeur_gi	148554	148687	-	155888	98/130	75.4%	5962	133
Oeur_gi	93768	93901	155888	Oeur_gi	148572	148702	-	155888	98/130	75.4%	5962	130
Oeur_gi	93786	93847	155888	Oeur_gi	148644	148702	-	155888	53/58	91.4%	4064	58
Oeur_gi	96219	96287	155888	Oeur_gi	96219	96287	-	155888	56/64	87.5%	3342	68
Oeur_gi	110574	110635	155888	Oeur_gi	110574	110635	-	155888	58/61	95.1%	5125	61
Oeur_gi	118919	118955	155888	Oeur_gi	118919	118955	-	155888	36/36	100.0%	3420	36
Oeur_gi	121994	122068	155888	Oeur_gi	141642	141715	-	155888	57/73	78.1%	4051	73
Oeur_gi	130123	155888	155888	Oeur_gi	86582	112332	-	155888	25748/25750	100.0%	2442207	25750
Oeur_gi	131820	131881	155888	Oeur_gi	131820	131881	-	155888	58/61	95.1%	5125	61
Oeur_gi	141642	141681	155888	Oeur_gi	45451	45490	-	155888	37/39	94.9%	3467	39
Oeur_gi	141642	141715	155888	Oeur_gi	121994	122068	-	155888	57/73	78.1%	4051	74
Oeur_gi	146168	146236	155888	Oeur_gi	146168	146236	-	155888	58/64	90.6%	3770	68
Oeur_gi	148554	148687	155888	Oeur_gi	93753	93883	-	155888	98/130	75.4%	5962	130
Oeur_gi	148572	148702	155888	Oeur_gi	93768	93901	-	155888	98/130	75.4%	5962	133
Oeur_gi	148608	148669	155888	Oeur_gi	93753	93811	-	155888	53/58	91.4%	4064	58
Oeur_gi	148644	148702	155888	Oeur_gi	93786	93847	-	155888	53/58	91.4%	4064	61
