#name1	zstart1	end1	size1	name2	zstart2+	end2+	strand2	size2	identity	idPct	score	length2
Ntab_gi	0	80000	80000	Ntab_gi	0	80000	+	80000	80000/80000	100.0%	7539389	80000
Ntab_gi	28802	28878	80000	Ntab_gi	50247	50327	+	80000	58/76	76.3%	3283	80
Ntab_gi	39165	41139	80000	Ntab_gi	41380	43342	+	80000	1143/1865	61.3%	29676	1962
Ntab_gi	41380	43342	80000	Ntab_gi	39165	41139	+	80000	1143/1865	61.3%	29676	1974
Ntab_gi	50247	50327	80000	Ntab_gi	28802	28878	+	80000	58/76	76.3%	3283	76
Ntab_gi2	20894	20933	75943	Ntab_gi	45445	45484	+	80000	38/39	97.4%	3598	39
Ntab_gi2	42264	42313	75943	Ntab_gi	45435	45484	+	80000	44/49	89.8%	3872	49
Ntab_gi	30572	30644	80000	Ntab_gi	30572	30644	-	80000	56/72	77.8%	4008	72
Ntab_gi	48520	48592	80000	Ntab_gi	54592	54664	-	80000	50/72	69.4%	3494	72
Ntab_gi	54592	54664	80000	Ntab_gi	48520	48592	-	80000	50/72	69.4%	3494	72
Ntab_gi	76814	76862	80000	Ntab_gi	76814	76862	-	80000	46/48	95.8%	4340	48
Ntab_gi2	61696	61735	75943	Ntab_gi	45445	45484	-	80000	38/39	97.4%	3598	39
Ntab_gi	45435	45484	80000	Ntab_gi2	42264	42313	+	75943	44/49	89.8%	3872	49
Ntab_gi	45445	45484	80000	Ntab_gi2	20894	20933	+	75943	38/39	97.4%	3598	39
Ntab_gi2	0	75943	75943	Ntab_gi2	0	75943	+	75943	75943/75943	100.0%	7182595	75943
Ntab_gi2	4067	4172	75943	Ntab_gi2	42235	42334	+	75943	72/98	73.5%	3722	99
Ntab_gi2	16329	16401	75943	Ntab_gi2	66228	66300	+	75943	56/72	77.8%	3784	72
Ntab_gi2	20892	20933	75943	Ntab_gi2	42272	42313	+	75943	39/41	95.1%	3649	41
Ntab_gi2	42235	42334	75943	Ntab_gi2	4067	4172	+	75943	72/98	73.5%	3722	105
Ntab_gi2	42272	42313	75943	Ntab_gi2	20892	20933	+	75943	39/41	95.1%	3649	41
Ntab_gi2	66228	66300	75943	Ntab_gi2	16329	16401	+	75943	56/72	77.8%	3784	72
Ntab_gi	45445	45484	80000	Ntab_gi2	61696	61735	-	75943	38/39	97.4%	3598	39
Ntab_gi2	6686	32033	75943	Ntab_gi2	50596	75943	-	75943	25345/25347	100.0%	2404809	25347
Ntab_gi2	16329	16401	75943	Ntab_gi2	16329	16401	-	75943	56/72	77.8%	3784	72
Ntab_gi2	42272	42313	75943	Ntab_gi2	61696	61737	-	75943	39/41	95.1%	3649	41
Ntab_gi2	50596	75943	75943	Ntab_gi2	6686	32033	-	75943	25345/25347	100.0%	2404809	25347
Ntab_gi2	61696	61737	75943	Ntab_gi2	42272	42313	-	75943	39/41	95.1%	3649	41
Ntab_gi2	66228	66300	75943	Ntab_gi2	66228	66300	-	75943	56/72	77.8%	3784	72
