#name1	zstart1	end1	size1	name2	zstart2+	end2+	strand2	size2	identity	idPct	score	length2
Same_gi	0	112	160910	Ogra_gi	86	206	+	65533	98/112	87.5%	7162	120
Same_gi	1489	5149	160910	Ogra_gi	0	3371	+	65533	2797/3260	85.8%	193383	3371
Same_gi	5539	6646	160910	Ogra_gi	3343	4406	+	65533	865/1019	84.9%	57891	1063
Same_gi	7380	8176	160910	Ogra_gi	4522	5238	+	65533	583/699	83.4%	34294	716
Same_gi	45441	48677	160910	Ogra_gi	17130	19884	+	65533	2303/2674	86.1%	148138	2754
Same_gi	52314	52906	160910	Ogra_gi	20136	20698	+	65533	448/532	84.2%	27747	562
Same_gi	58638	60186	160910	Ogra_gi	23269	24506	+	65533	942/1197	78.7%	50358	1237
Same_gi	67327	68046	160910	Ogra_gi	24565	25271	+	65533	596/685	87.0%	42894	706
Same_gi	68870	69208	160910	Ogra_gi	25320	25650	+	65533	271/327	82.9%	19494	330
Same_gi	79632	86375	160910	Ogra_gi	28378	35033	+	65533	5876/6558	89.6%	478158	6655
Same_gi	102928	103081	160910	Ogra_gi	35073	35226	+	65533	141/153	92.2%	12629	153
Same_gi	103764	107694	160910	Ogra_gi	35186	38922	+	65533	3640/3718	97.9%	331420	3736
Same_gi	108108	108241	160910	Ogra_gi	38927	39059	+	65533	122/132	92.4%	10361	132
Same_gi	116919	117745	160910	Ogra_gi	47172	48007	+	65533	581/785	74.0%	27780	835
Same_gi	118773	118946	160910	Ogra_gi	45022	45205	+	65533	133/170	78.2%	8242	183
Same_gi	120000	120187	160910	Ogra_gi	45202	45416	+	65533	152/186	81.7%	9715	214
Same_gi	123279	125379	160910	Ogra_gi	45454	46990	+	65533	1146/1459	78.5%	42892	1536
Same_gi	127921	128984	160910	Ogra_gi	39102	40199	+	65533	717/1000	71.7%	29103	1097
Same_gi	129965	135209	160910	Ogra_gi	40258	45088	+	65533	3313/4534	73.1%	148052	4830
Same_gi	137425	137558	160910	Ogra_gi	48050	48182	+	65533	122/132	92.4%	10361	132
Same_gi	137972	141902	160910	Ogra_gi	48187	51923	+	65533	3640/3718	97.9%	331420	3736
Same_gi	142585	150483	160910	Ogra_gi	51883	58819	+	65533	6606/6880	96.0%	556875	6936
Same_gi	151934	152281	160910	Ogra_gi	58814	59148	+	65533	317/333	95.2%	27185	334
Same_gi	152269	158876	160910	Ogra_gi	59490	65533	+	65533	5119/5802	88.2%	365445	6043
Same_gi	156748	156901	160910	Ogra_gi	63733	63898	+	65533	111/147	75.5%	5055	165
Same_gi	8645	8937	160910	Ogra_gi	16931	17267	-	65533	229/282	81.2%	12811	336
Same_gi	10187	13786	160910	Ogra_gi	13496	17096	-	65533	3143/3524	89.2%	250988	3600
Same_gi	15367	16623	160910	Ogra_gi	12275	13502	-	65533	1059/1212	87.4%	83556	1227
Same_gi	28061	28401	160910	Ogra_gi	11848	12192	-	65533	284/332	85.5%	19442	344
Same_gi	29485	31923	160910	Ogra_gi	10001	11852	-	65533	1536/1803	85.2%	86080	1851
Same_gi	34179	34771	160910	Ogra_gi	9425	10017	-	65533	517/578	89.4%	41519	592
Same_gi	35248	37949	160910	Ogra_gi	6894	9404	-	65533	2073/2407	86.1%	144939	2510
Same_gi	41343	42737	160910	Ogra_gi	5716	6945	-	65533	995/1194	83.3%	62909	1229
Same_gi	43814	43860	160910	Ogra_gi	55956	56002	-	65533	42/46	91.3%	3775	46
Same_gi	44321	44578	160910	Ogra_gi	5466	5722	-	65533	219/252	86.9%	17079	256
Same_gi	45324	45577	160910	Ogra_gi	5232	5479	-	65533	206/245	84.1%	14829	247
Same_gi	46841	47062	160910	Ogra_gi	20640	20842	-	65533	130/190	68.4%	3747	202
Same_gi	55441	58051	160910	Ogra_gi	20599	23056	-	65533	2173/2417	89.9%	173391	2457
Same_gi	69180	71976	160910	Ogra_gi	25753	28384	-	65533	2043/2554	80.0%	127473	2631
Same_gi	86790	93397	160910	Ogra_gi	59490	65533	-	65533	5119/5802	88.2%	365445	6043
Same_gi	88765	88918	160910	Ogra_gi	63733	63898	-	65533	111/147	75.5%	5055	165
Same_gi	93385	93732	160910	Ogra_gi	58814	59148	-	65533	317/333	95.2%	27185	334
Same_gi	95183	103081	160910	Ogra_gi	51883	58819	-	65533	6606/6880	96.0%	556875	6936
Same_gi	103764	107694	160910	Ogra_gi	48187	51923	-	65533	3640/3718	97.9%	331420	3736
Same_gi	108108	108241	160910	Ogra_gi	48050	48182	-	65533	122/132	92.4%	10361	132
Same_gi	110457	115701	160910	Ogra_gi	40258	45088	-	65533	3315/4535	73.1%	148406	4830
Same_gi	116682	117745	160910	Ogra_gi	39102	40199	-	65533	717/1000	71.7%	29103	1097
Same_gi	126719	126892	160910	Ogra_gi	45022	45205	-	65533	133/170	78.2%	8242	183
Same_gi	127921	128747	160910	Ogra_gi	47172	48007	-	65533	581/785	74.0%	27780	835
Same_gi	137425	137558	160910	Ogra_gi	38927	39059	-	65533	122/132	92.4%	10361	132
Same_gi	137972	141902	160910	Ogra_gi	35186	38922	-	65533	3640/3718	97.9%	331420	3736
Same_gi	142585	142738	160910	Ogra_gi	35073	35226	-	65533	141/153	92.2%	12629	153
Same_gi	159291	160910	160910	Ogra_gi	33421	35033	-	65533	1508/1602	94.1%	132977	1612
