#name1	zstart1	end1	size1	name2	zstart2+	end2+	strand2	size2	identity	idPct	score	length2
Same_gi	9	758	160910	Evir_gi	0	517	+	70028	378/492	76.8%	9118	517
Same_gi	1612	3556	160910	Evir_gi	0	2108	+	70028	1472/1877	78.4%	82709	2108
Same_gi	7270	7907	160910	Evir_gi	2120	2608	+	70028	382/471	81.1%	13650	488
Same_gi	8598	8771	160910	Evir_gi	2519	2693	+	70028	141/169	83.4%	10042	174
Same_gi	10352	10458	160910	Evir_gi	2700	2802	+	70028	84/102	82.4%	5768	102
Same_gi	15585	16462	160910	Evir_gi	3093	3969	+	70028	722/862	83.8%	55855	876
Same_gi	29641	30005	160910	Evir_gi	4044	4379	+	70028	241/329	73.3%	10157	335
Same_gi	30644	31172	160910	Evir_gi	4382	4962	+	70028	429/508	84.4%	27667	580
Same_gi	35545	35817	160910	Evir_gi	4916	5161	+	70028	192/227	84.6%	10972	245
Same_gi	36719	37430	160910	Evir_gi	5185	5898	+	70028	603/686	87.9%	43602	713
Same_gi	45339	46709	160910	Evir_gi	5909	7208	+	70028	980/1202	81.5%	55881	1299
Same_gi	48404	48667	160910	Evir_gi	7133	7372	+	70028	188/234	80.3%	11204	239
Same_gi	58579	58961	160910	Evir_gi	8811	9187	+	70028	278/373	74.5%	17107	376
Same_gi	59500	60170	160910	Evir_gi	9174	9845	+	70028	573/670	85.5%	45849	671
Same_gi	67481	67952	160910	Evir_gi	10043	10583	+	70028	381/458	83.2%	21832	540
Same_gi	68783	71638	160910	Evir_gi	10685	13228	+	70028	1989/2457	81.0%	117280	2543
Same_gi	71585	73105	160910	Evir_gi	13758	15085	+	70028	1032/1283	80.4%	60499	1327
Same_gi	79426	87518	160910	Evir_gi	15143	22510	+	70028	6203/7194	86.2%	432396	7367
Same_gi	83705	84005	160910	Evir_gi	19241	19542	+	70028	260/300	86.7%	21014	301
Same_gi	87511	94231	160910	Evir_gi	23229	29891	+	70028	5317/6161	86.3%	369103	6662
Same_gi	93379	93889	160910	Evir_gi	29147	29618	+	70028	418/457	91.5%	30234	471
Same_gi	95497	108543	160910	Evir_gi	29860	41711	+	70028	10746/11562	92.9%	847846	11851
Same_gi	111051	115699	160910	Evir_gi	42663	47032	+	70028	2952/4011	73.6%	129468	4369
Same_gi	116642	117563	160910	Evir_gi	47115	48171	+	70028	702/888	79.1%	38360	1056
Same_gi	124264	124369	160910	Evir_gi	42503	42608	+	70028	96/105	91.4%	8346	105
Same_gi	128103	128976	160910	Evir_gi	41656	42514	+	70028	645/816	79.0%	38312	858
Same_gi	137123	150169	160910	Evir_gi	48116	59967	+	70028	10746/11562	92.9%	847846	11851
Same_gi	151435	158155	160910	Evir_gi	59936	66598	+	70028	5317/6161	86.3%	369103	6662
Same_gi	151777	152287	160910	Evir_gi	60209	60680	+	70028	418/457	91.5%	30234	471
Same_gi	158148	160910	160910	Evir_gi	67317	69939	+	70028	2398/2586	92.7%	193746	2622
Same_gi	54292	54612	160910	Evir_gi	7765	8063	-	70028	223/279	79.9%	11211	298
Same_gi	57575	57878	160910	Evir_gi	7382	7695	-	70028	231/285	81.1%	12384	313
Same_gi	84681	87518	160910	Evir_gi	67317	70028	-	70028	2460/2660	92.5%	197126	2711
Same_gi	87511	94231	160910	Evir_gi	59936	66598	-	70028	5317/6161	86.3%	369103	6662
Same_gi	93379	93889	160910	Evir_gi	60209	60680	-	70028	418/457	91.5%	30234	471
Same_gi	95497	108543	160910	Evir_gi	48116	59967	-	70028	10746/11562	92.9%	847846	11851
Same_gi	116690	117563	160910	Evir_gi	41656	42514	-	70028	645/816	79.0%	38312	858
Same_gi	128103	129024	160910	Evir_gi	47115	48171	-	70028	702/888	79.1%	38360	1056
Same_gi	129967	134615	160910	Evir_gi	42663	47032	-	70028	2948/4007	73.6%	128608	4369
Same_gi	137123	150169	160910	Evir_gi	29860	41711	-	70028	10746/11562	92.9%	847846	11851
Same_gi	151435	158155	160910	Evir_gi	23229	29891	-	70028	5317/6161	86.3%	369103	6662
Same_gi	151777	152287	160910	Evir_gi	29147	29618	-	70028	418/457	91.5%	30234	471
Same_gi	158148	160910	160910	Evir_gi	19888	22510	-	70028	2398/2586	92.7%	193746	2622
