#name1	zstart1	end1	size1	name2	zstart2+	end2+	strand2	size2	identity	idPct	score	length2
Ntab_gi	0	31364	80000	Lphi_gi	6	31544	+	155103	26584/29911	88.9%	2018028	31538
Ntab_gi	28802	28923	80000	Lphi_gi	49290	49414	+	155103	79/121	65.3%	3386	124
Ntab_gi	31827	63201	80000	Lphi_gi	31446	61977	+	155103	26646/29402	90.6%	2088803	30531
Ntab_gi	39165	41139	80000	Lphi_gi	40687	42649	+	155103	1142/1859	61.4%	27603	1962
Ntab_gi	41380	43342	80000	Lphi_gi	38472	40446	+	155103	1142/1868	61.1%	29760	1974
Ntab_gi	45435	45484	80000	Lphi_gi	121242	121291	+	155103	44/49	89.8%	3872	49
Ntab_gi	45445	45484	80000	Lphi_gi	99790	99829	+	155103	38/39	97.4%	3598	39
Ntab_gi	63192	80000	80000	Lphi_gi	62568	79039	+	155103	14243/15883	89.7%	1094653	16471
Ntab_gi2	0	75943	75943	Lphi_gi	79039	155089	+	155103	69836/74223	94.1%	6040130	76050
Ntab_gi2	4067	4144	75943	Lphi_gi	121213	121291	+	155103	56/77	72.7%	3446	78
Ntab_gi2	13893	14000	75943	Lphi_gi	92802	92909	+	155103	72/107	67.3%	3672	107
Ntab_gi2	13907	14020	75943	Lphi_gi	92780	92893	+	155103	78/113	69.0%	4402	113
Ntab_gi2	16333	16401	75943	Lphi_gi	145403	145475	+	155103	61/68	89.7%	4633	72
Ntab_gi2	20860	20935	75943	Lphi_gi	121217	121293	+	155103	62/72	86.1%	4080	76
Ntab_gi2	20894	20933	75943	Lphi_gi	44677	44716	+	155103	36/39	92.3%	3345	39
Ntab_gi2	42235	42329	75943	Lphi_gi	83143	83229	+	155103	65/86	75.6%	3664	86
Ntab_gi2	42264	42313	75943	Lphi_gi	44667	44716	+	155103	44/49	89.8%	3872	49
Ntab_gi2	42272	42313	75943	Lphi_gi	99788	99829	+	155103	39/41	95.1%	3649	41
Ntab_gi2	66228	66296	75943	Lphi_gi	95222	95294	+	155103	61/68	89.7%	4633	72
Ntab_gi2	68609	68722	75943	Lphi_gi	147804	147917	+	155103	78/113	69.0%	4402	113
Ntab_gi2	68629	68736	75943	Lphi_gi	147788	147895	+	155103	72/107	67.3%	3672	107
Ntab_gi	45445	45484	80000	Lphi_gi	140868	140907	-	155103	38/39	97.4%	3598	39
Ntab_gi	48520	48592	80000	Lphi_gi	53639	53711	-	155103	51/72	70.8%	3616	72
Ntab_gi	54524	54664	80000	Lphi_gi	47634	47762	-	155103	84/127	66.1%	3514	128
Ntab_gi	76814	76864	80000	Lphi_gi	75854	75904	-	155103	42/50	84.0%	3597	50
Ntab_gi2	6671	32137	75943	Lphi_gi	129335	155103	-	155103	24647/25258	97.6%	2249246	25768
Ntab_gi2	13893	14000	75943	Lphi_gi	147788	147895	-	155103	72/107	67.3%	3672	107
Ntab_gi2	13907	14020	75943	Lphi_gi	147804	147917	-	155103	78/113	69.0%	4402	113
Ntab_gi2	16333	16401	75943	Lphi_gi	95222	95294	-	155103	61/68	89.7%	4633	72
Ntab_gi2	42272	42313	75943	Lphi_gi	140868	140909	-	155103	39/41	95.1%	3649	41
Ntab_gi2	50424	75943	75943	Lphi_gi	85608	111419	-	155103	24689/25300	97.6%	2251745	25811
Ntab_gi2	61694	61769	75943	Lphi_gi	121217	121293	-	155103	62/72	86.1%	4080	76
Ntab_gi2	61696	61735	75943	Lphi_gi	44677	44716	-	155103	36/39	92.3%	3345	39
Ntab_gi2	66228	66296	75943	Lphi_gi	145403	145475	-	155103	61/68	89.7%	4633	72
Ntab_gi2	68609	68722	75943	Lphi_gi	92780	92893	-	155103	78/113	69.0%	4402	113
Ntab_gi2	68629	68736	75943	Lphi_gi	92802	92909	-	155103	72/107	67.3%	3672	107
