#name1	zstart1	end1	size1	name2	zstart2+	end2+	strand2	size2	identity	idPct	score	length2
Ogra_gi	0	65533	65533	Ogra_gi	0	65533	+	65533	65533/65533	100.0%	6167308	65533
Ogra_gi	23588	23753	65533	Ogra_gi	23714	23881	+	65533	109/154	70.8%	4902	167
Ogra_gi	23588	23730	65533	Ogra_gi	23678	23838	+	65533	108/142	76.1%	6677	160
Ogra_gi	23588	23799	65533	Ogra_gi	23651	23868	+	65533	160/208	76.9%	10615	217
Ogra_gi	23595	23832	65533	Ogra_gi	23631	23850	+	65533	178/210	84.8%	12605	219
Ogra_gi	23631	23850	65533	Ogra_gi	23595	23832	+	65533	178/210	84.8%	12605	237
Ogra_gi	23651	23868	65533	Ogra_gi	23588	23799	+	65533	160/208	76.9%	10615	211
Ogra_gi	23678	23838	65533	Ogra_gi	23588	23730	+	65533	108/142	76.1%	6677	142
Ogra_gi	23714	23881	65533	Ogra_gi	23588	23753	+	65533	109/154	70.8%	4902	165
Ogra_gi	63733	63895	65533	Ogra_gi	63754	63952	+	65533	125/159	78.6%	5247	198
Ogra_gi	63754	63952	65533	Ogra_gi	63733	63895	+	65533	125/159	78.6%	5247	162
Ogra_gi	7758	7848	65533	Ogra_gi	7758	7848	-	65533	68/88	77.3%	4424	90
Ogra_gi	11450	11671	65533	Ogra_gi	11450	11671	-	65533	152/200	76.0%	3898	221
Ogra_gi	35073	40009	65533	Ogra_gi	47101	52036	-	65533	4932/4935	99.9%	469383	4935
Ogra_gi	39936	40296	65533	Ogra_gi	46589	47015	-	65533	235/349	67.3%	5852	426
Ogra_gi	46589	47015	65533	Ogra_gi	39936	40296	-	65533	235/349	67.3%	5852	360
Ogra_gi	47101	52036	65533	Ogra_gi	35073	40009	-	65533	4932/4935	99.9%	469383	4936
Ogra_gi	58927	58981	65533	Ogra_gi	58927	58981	-	65533	46/54	85.2%	4064	54
