#name1	zstart1	end1	size1	name2	zstart2+	end2+	strand2	size2	identity	idPct	score	length2
Evir_gi	0	485	70028	Cphe_gi	89413	90238	+	94380	360/469	76.8%	6752	825
Evir_gi	0	2136	70028	Cphe_gi	91055	93058	+	94380	1499/1948	77.0%	84042	2003
Evir_gi	2183	2692	70028	Cphe_gi	2042	2922	+	94380	410/491	83.5%	13091	880
Evir_gi	2728	3969	70028	Cphe_gi	3726	4783	+	94380	862/1037	83.1%	57557	1057
Evir_gi	4382	4978	70028	Cphe_gi	7430	7986	+	94380	439/534	82.2%	26238	556
Evir_gi	4935	5163	70028	Cphe_gi	8342	8570	+	94380	176/221	79.6%	10632	228
Evir_gi	5168	5898	70028	Cphe_gi	9068	9805	+	94380	596/694	85.9%	41278	737
Evir_gi	5894	7084	70028	Cphe_gi	10855	12139	+	94380	926/1124	82.4%	55001	1284
Evir_gi	7129	7606	70028	Cphe_gi	13277	14080	+	94380	375/472	79.4%	13175	803
Evir_gi	7749	8063	70028	Cphe_gi	14725	15053	+	94380	226/297	76.1%	10342	328
Evir_gi	8215	9854	70028	Cphe_gi	16442	18121	+	94380	1280/1494	85.7%	91059	1679
Evir_gi	9894	10733	70028	Cphe_gi	20009	20937	+	94380	572/746	76.7%	21020	928
Evir_gi	10738	21659	70028	Cphe_gi	21473	33002	+	94380	8697/10295	84.5%	567971	11529
Evir_gi	19138	19545	70028	Cphe_gi	30030	30421	+	94380	324/391	82.9%	23894	391
Evir_gi	21634	29903	70028	Cphe_gi	37622	46172	+	94380	7338/8036	91.3%	588938	8550
Evir_gi	29860	35470	70028	Cphe_gi	47418	53655	+	94380	4947/5364	92.2%	372526	6237
Evir_gi	36240	41791	70028	Cphe_gi	53647	59570	+	94380	5035/5398	93.3%	404763	5923
Evir_gi	41618	41839	70028	Cphe_gi	59832	60036	+	94380	158/199	79.4%	8074	204
Evir_gi	42571	53587	70028	Cphe_gi	61866	73382	+	94380	9243/10615	87.1%	672402	11516
Evir_gi	54357	59967	70028	Cphe_gi	73374	79611	+	94380	4947/5364	92.2%	372526	6237
Evir_gi	59924	68193	70028	Cphe_gi	80857	89407	+	94380	7338/8036	91.3%	588938	8550
Evir_gi	68168	68518	70028	Cphe_gi	94026	94380	+	94380	295/332	88.9%	19930	354
Evir_gi	0	485	70028	Cphe_gi	36791	37616	-	94380	360/469	76.8%	6752	825
Evir_gi	0	2136	70028	Cphe_gi	33970	35974	-	94380	1500/1948	77.0%	83826	2004
Evir_gi	21309	21659	70028	Cphe_gi	94026	94380	-	94380	295/332	88.9%	19930	354
Evir_gi	21634	29903	70028	Cphe_gi	80857	89407	-	94380	7338/8036	91.3%	588938	8550
Evir_gi	29860	35470	70028	Cphe_gi	73374	79611	-	94380	4947/5364	92.2%	372526	6237
Evir_gi	36240	42505	70028	Cphe_gi	66764	73382	-	94380	5629/6094	92.4%	450507	6618
Evir_gi	42503	42671	70028	Cphe_gi	60784	60945	-	94380	131/160	81.9%	8539	161
Evir_gi	47988	48209	70028	Cphe_gi	59832	60036	-	94380	158/199	79.4%	8074	204
Evir_gi	48036	53587	70028	Cphe_gi	53647	59570	-	94380	5035/5398	93.3%	404763	5923
Evir_gi	54357	59967	70028	Cphe_gi	47418	53655	-	94380	4947/5364	92.2%	372526	6237
Evir_gi	59924	68193	70028	Cphe_gi	37622	46172	-	94380	7338/8036	91.3%	588938	8550
Evir_gi	68168	70028	70028	Cphe_gi	31117	33002	-	94380	1630/1813	89.9%	128225	1885
