#name1	zstart1	end1	size1	name2	zstart2+	end2+	strand2	size2	identity	idPct	score	length2
Ntab_gi	0	138	155943	Ogra_gi	84	234	+	65533	110/136	80.9%	6699	150
Ntab_gi	1484	5019	155943	Ogra_gi	0	3369	+	65533	2575/3251	79.2%	157095	3369
Ntab_gi	5453	6519	155943	Ogra_gi	3347	4402	+	65533	785/1008	77.9%	43141	1055
Ntab_gi	7183	8095	155943	Ogra_gi	4413	5241	+	65533	620/804	77.1%	28938	828
Ntab_gi	30561	30634	155943	Ogra_gi	11514	11597	+	65533	63/73	86.3%	4293	83
Ntab_gi	47125	50337	155943	Ogra_gi	17153	19878	+	65533	2181/2603	83.8%	125785	2725
Ntab_gi	53916	56997	155943	Ogra_gi	20138	23056	+	65533	2461/2864	85.9%	182477	2918
Ntab_gi	59766	59992	155943	Ogra_gi	23099	23334	+	65533	182/223	81.6%	12305	235
Ntab_gi	60414	61389	155943	Ogra_gi	23273	24488	+	65533	817/954	85.6%	56809	1215
Ntab_gi	68566	69317	155943	Ogra_gi	24585	25321	+	65533	588/715	82.2%	38215	736
Ntab_gi	70084	70419	155943	Ogra_gi	25320	25644	+	65533	261/322	81.1%	18126	324
Ntab_gi	81476	88314	155943	Ogra_gi	28380	35033	+	65533	5664/6499	87.2%	434389	6653
Ntab_gi	105503	105656	155943	Ogra_gi	35073	35226	+	65533	139/153	90.8%	12385	153
Ntab_gi	106235	110197	155943	Ogra_gi	35186	38946	+	65533	3642/3738	97.4%	328947	3760
Ntab_gi	110597	111835	155943	Ogra_gi	38927	40196	+	65533	906/1170	77.4%	49923	1269
Ntab_gi	130966	132032	155943	Ogra_gi	47109	48182	+	65533	783/999	78.4%	44816	1073
Ntab_gi	132432	136394	155943	Ogra_gi	48163	51923	+	65533	3642/3738	97.4%	328947	3760
Ntab_gi	136973	144665	155943	Ogra_gi	51883	58819	+	65533	6476/6857	94.4%	537188	6936
Ntab_gi	146114	152926	155943	Ogra_gi	58814	65533	+	65533	5622/6308	89.1%	417740	6719
Ntab_gi	151118	151270	155943	Ogra_gi	63734	63898	+	65533	111/138	80.4%	4943	164
Ntab_gi	153302	153988	155943	Ogra_gi	64862	65533	+	65533	602/660	91.2%	48037	671
Ntab_gi	8634	8858	155943	Ogra_gi	17022	17242	-	65533	175/213	82.2%	10667	220
Ntab_gi	10264	13884	155943	Ogra_gi	13496	17089	-	65533	3060/3518	87.0%	234757	3593
Ntab_gi	16024	17264	155943	Ogra_gi	12279	13504	-	65533	1023/1203	85.0%	78340	1225
Ntab_gi	28757	29113	155943	Ogra_gi	11844	12192	-	65533	261/331	78.9%	13827	348
Ntab_gi	30542	31200	155943	Ogra_gi	10963	11627	-	65533	505/613	82.4%	31194	664
Ntab_gi	31898	32403	155943	Ogra_gi	10444	10964	-	65533	449/499	90.0%	35797	520
Ntab_gi	32947	33402	155943	Ogra_gi	10001	10486	-	65533	304/406	74.9%	11969	485
Ntab_gi	35613	36205	155943	Ogra_gi	9425	10017	-	65533	506/578	87.5%	40058	592
Ntab_gi	36682	39467	155943	Ogra_gi	6894	9404	-	65533	2014/2394	84.1%	128270	2510
Ntab_gi	42861	44294	155943	Ogra_gi	5721	6945	-	65533	969/1191	81.4%	56176	1224
Ntab_gi	45445	45484	155943	Ogra_gi	55963	56002	-	65533	39/39	100.0%	3729	39
Ntab_gi	45971	46254	155943	Ogra_gi	5466	5722	-	65533	214/251	85.3%	14990	256
Ntab_gi	47024	47244	155943	Ogra_gi	5232	5453	-	65533	178/220	80.9%	13012	221
Ntab_gi	48520	48590	155943	Ogra_gi	20772	20842	-	65533	50/70	71.4%	3547	70
Ntab_gi	70367	72701	155943	Ogra_gi	26096	28414	-	65533	1777/2161	82.2%	112514	2318
Ntab_gi	73347	73636	155943	Ogra_gi	25804	26087	-	65533	172/283	60.8%	6595	283
Ntab_gi	88641	89327	155943	Ogra_gi	64862	65533	-	65533	602/660	91.2%	48037	671
Ntab_gi	89703	96515	155943	Ogra_gi	58814	65533	-	65533	5622/6308	89.1%	417740	6719
Ntab_gi	91359	91511	155943	Ogra_gi	63734	63898	-	65533	111/138	80.4%	4943	164
Ntab_gi	97964	105656	155943	Ogra_gi	51883	58819	-	65533	6476/6857	94.4%	537188	6936
Ntab_gi	106235	110197	155943	Ogra_gi	48163	51923	-	65533	3642/3738	97.4%	328947	3760
Ntab_gi	110597	111663	155943	Ogra_gi	47109	48182	-	65533	783/999	78.4%	44816	1073
Ntab_gi	115006	117205	155943	Ogra_gi	45454	46833	-	65533	1051/1368	76.8%	28292	1379
Ntab_gi	120397	120616	155943	Ogra_gi	45154	45416	-	65533	164/219	74.9%	8796	262
Ntab_gi	122272	122313	155943	Ogra_gi	55963	56004	-	65533	40/41	97.6%	3780	41
Ntab_gi	123539	123720	155943	Ogra_gi	45022	45205	-	65533	130/178	73.0%	7905	183
Ntab_gi	125174	132032	155943	Ogra_gi	38927	45026	-	65533	4322/5902	73.2%	207881	6099
Ntab_gi	132432	136394	155943	Ogra_gi	35186	38946	-	65533	3642/3738	97.4%	328947	3760
Ntab_gi	136973	137126	155943	Ogra_gi	35073	35226	-	65533	139/153	90.8%	12385	153
Ntab_gi	154315	155943	155943	Ogra_gi	33405	35033	-	65533	1513/1618	93.5%	133122	1628
