#name1	zstart1	end1	size1	name2	zstart2+	end2+	strand2	size2	identity	idPct	score	length2
Lphi_gi	0	155103	155103	Lphi_gi	0	155103	+	155103	155103/155103	100.0%	14641953	155103
Lphi_gi	32412	32481	155103	Lphi_gi	32464	32533	+	155103	63/69	91.3%	5276	69
Lphi_gi	32464	32533	155103	Lphi_gi	32412	32481	+	155103	63/69	91.3%	5276	69
Lphi_gi	38372	40446	155103	Lphi_gi	40599	42649	+	155103	1181/1961	60.2%	26934	2050
Lphi_gi	40599	42649	155103	Lphi_gi	38372	40446	+	155103	1181/1961	60.2%	26934	2074
Lphi_gi	44667	44716	155103	Lphi_gi	121242	121291	+	155103	42/49	85.7%	3619	49
Lphi_gi	44677	44716	155103	Lphi_gi	99790	99829	+	155103	36/39	92.3%	3345	39
Lphi_gi	92780	92893	155103	Lphi_gi	92798	92911	+	155103	80/113	70.8%	4655	113
Lphi_gi	92798	92911	155103	Lphi_gi	92780	92893	+	155103	80/113	70.8%	4655	113
Lphi_gi	95234	95282	155103	Lphi_gi	145415	145463	+	155103	44/48	91.7%	3728	48
Lphi_gi	99756	99831	155103	Lphi_gi	121217	121293	+	155103	62/72	86.1%	4080	76
Lphi_gi	99790	99829	155103	Lphi_gi	44677	44716	+	155103	36/39	92.3%	3345	39
Lphi_gi	121217	121293	155103	Lphi_gi	99756	99831	+	155103	62/72	86.1%	4080	75
Lphi_gi	121242	121291	155103	Lphi_gi	44667	44716	+	155103	42/49	85.7%	3619	49
Lphi_gi	145415	145463	155103	Lphi_gi	95234	95282	+	155103	44/48	91.7%	3728	48
Lphi_gi	147786	147899	155103	Lphi_gi	147804	147917	+	155103	80/113	70.8%	4655	113
Lphi_gi	147804	147917	155103	Lphi_gi	147786	147899	+	155103	80/113	70.8%	4655	113
Lphi_gi	30714	30780	155103	Lphi_gi	30714	30780	-	155103	56/66	84.8%	4248	66
Lphi_gi	44677	44716	155103	Lphi_gi	140868	140907	-	155103	36/39	92.3%	3345	39
Lphi_gi	47634	47706	155103	Lphi_gi	53639	53711	-	155103	51/72	70.8%	3616	72
Lphi_gi	53639	53711	155103	Lphi_gi	47634	47706	-	155103	51/72	70.8%	3616	72
Lphi_gi	75854	75906	155103	Lphi_gi	75854	75906	-	155103	46/52	88.5%	4198	52
Lphi_gi	85594	111406	155103	Lphi_gi	129291	155103	-	155103	25809/25812	100.0%	2448701	25812
Lphi_gi	92780	92893	155103	Lphi_gi	147786	147899	-	155103	80/113	70.8%	4655	113
Lphi_gi	92798	92911	155103	Lphi_gi	147804	147917	-	155103	80/113	70.8%	4655	113
Lphi_gi	95234	95282	155103	Lphi_gi	95234	95282	-	155103	44/48	91.7%	3728	48
Lphi_gi	114339	114500	155103	Lphi_gi	114339	114500	-	155103	104/151	68.9%	4195	161
Lphi_gi	116325	116462	155103	Lphi_gi	116325	116462	-	155103	110/136	80.9%	7874	137
Lphi_gi	121217	121293	155103	Lphi_gi	140866	140941	-	155103	62/72	86.1%	4080	75
Lphi_gi	129291	155103	155103	Lphi_gi	85594	111406	-	155103	25809/25812	100.0%	2448701	25812
Lphi_gi	140866	140941	155103	Lphi_gi	121217	121293	-	155103	62/72	86.1%	4080	76
Lphi_gi	140868	140907	155103	Lphi_gi	44677	44716	-	155103	36/39	92.3%	3345	39
Lphi_gi	145415	145463	155103	Lphi_gi	145415	145463	-	155103	44/48	91.7%	3728	48
Lphi_gi	147786	147899	155103	Lphi_gi	92780	92893	-	155103	80/113	70.8%	4655	113
Lphi_gi	147804	147917	155103	Lphi_gi	92798	92911	-	155103	80/113	70.8%	4655	113
