#name1	zstart1	end1	size1	name2	zstart2+	end2+	strand2	size2	identity	idPct	score	length2
Oeur_gi	0	76	155888	Ogra_gi	90	167	+	65533	71/76	93.4%	6124	77
Oeur_gi	1605	5235	155888	Ogra_gi	0	3362	+	65533	2716/3223	84.3%	184270	3362
Oeur_gi	5648	6969	155888	Ogra_gi	3350	4529	+	65533	932/1145	81.4%	54624	1179
Oeur_gi	8044	8747	155888	Ogra_gi	4583	5241	+	65533	534/629	84.9%	31713	658
Oeur_gi	47034	50119	155888	Ogra_gi	17153	19892	+	65533	2222/2609	85.2%	141469	2739
Oeur_gi	53708	56765	155888	Ogra_gi	20151	23056	+	65533	2514/2840	88.5%	195246	2905
Oeur_gi	59320	59602	155888	Ogra_gi	23060	23334	+	65533	225/267	84.3%	15620	274
Oeur_gi	60002	61146	155888	Ogra_gi	23287	24585	+	65533	905/1046	86.5%	61266	1298
Oeur_gi	68658	69362	155888	Ogra_gi	24565	25234	+	65533	582/667	87.3%	42505	669
Oeur_gi	70164	70631	155888	Ogra_gi	25320	25782	+	65533	339/446	76.0%	18832	462
Oeur_gi	81475	88228	155888	Ogra_gi	28370	35033	+	65533	5847/6545	89.3%	469742	6663
Oeur_gi	105611	105764	155888	Ogra_gi	35073	35226	+	65533	141/153	92.2%	12629	153
Oeur_gi	106445	110429	155888	Ogra_gi	35186	38995	+	65533	3670/3771	97.3%	331200	3809
Oeur_gi	110805	112043	155888	Ogra_gi	38927	40196	+	65533	913/1180	77.4%	51553	1269
Oeur_gi	130584	131650	155888	Ogra_gi	47109	48182	+	65533	792/1009	78.5%	46456	1073
Oeur_gi	132026	136010	155888	Ogra_gi	48114	51923	+	65533	3670/3771	97.3%	331200	3809
Oeur_gi	136691	144606	155888	Ogra_gi	51883	58819	+	65533	6632/6886	96.3%	560657	6936
Oeur_gi	146037	153053	155888	Ogra_gi	58795	65533	+	65533	5726/6443	88.9%	421902	6738
Oeur_gi	151063	151215	155888	Ogra_gi	63734	63898	+	65533	113/138	81.9%	5095	164
Oeur_gi	153238	153900	155888	Ogra_gi	64862	65533	+	65533	606/659	92.0%	49811	671
Oeur_gi	9297	9471	155888	Ogra_gi	17079	17265	-	65533	150/173	86.7%	10380	186
Oeur_gi	10855	14439	155888	Ogra_gi	13496	17096	-	65533	3124/3520	88.8%	248832	3600
Oeur_gi	16490	17710	155888	Ogra_gi	12279	13504	-	65533	1049/1208	86.8%	84430	1225
Oeur_gi	29136	29419	155888	Ogra_gi	11848	12192	-	65533	237/281	84.3%	12831	344
Oeur_gi	30486	30667	155888	Ogra_gi	11680	11852	-	65533	131/167	78.4%	7501	172
Oeur_gi	31045	32492	155888	Ogra_gi	10444	11627	-	65533	1000/1140	87.7%	64884	1183
Oeur_gi	33012	33432	155888	Ogra_gi	10001	10453	-	65533	294/368	79.9%	13983	452
Oeur_gi	35729	36321	155888	Ogra_gi	9425	10017	-	65533	508/578	87.9%	40365	592
Oeur_gi	36798	39524	155888	Ogra_gi	6894	9404	-	65533	2060/2410	85.5%	139431	2510
Oeur_gi	42918	44347	155888	Ogra_gi	5714	6945	-	65533	987/1186	83.2%	59956	1231
Oeur_gi	45451	45490	155888	Ogra_gi	55963	56002	-	65533	38/39	97.4%	3598	39
Oeur_gi	45963	46227	155888	Ogra_gi	5466	5722	-	65533	220/252	87.3%	16813	256
Oeur_gi	46921	47122	155888	Ogra_gi	5264	5479	-	65533	177/200	88.5%	13155	215
Oeur_gi	48364	48639	155888	Ogra_gi	20602	20842	-	65533	156/232	67.2%	4336	240
Oeur_gi	70480	72795	155888	Ogra_gi	26096	28360	-	65533	1840/2170	84.8%	129481	2264
Oeur_gi	73448	73737	155888	Ogra_gi	25804	26087	-	65533	173/283	61.1%	6751	283
Oeur_gi	88555	89217	155888	Ogra_gi	64862	65533	-	65533	606/659	92.0%	49811	671
Oeur_gi	89402	96418	155888	Ogra_gi	58795	65533	-	65533	5726/6443	88.9%	421902	6738
Oeur_gi	91240	91392	155888	Ogra_gi	63734	63898	-	65533	113/138	81.9%	5095	164
Oeur_gi	97849	105764	155888	Ogra_gi	51883	58819	-	65533	6632/6886	96.3%	560657	6936
Oeur_gi	106445	110429	155888	Ogra_gi	48114	51923	-	65533	3670/3771	97.3%	331200	3809
Oeur_gi	110805	111871	155888	Ogra_gi	47109	48182	-	65533	792/1009	78.5%	46456	1073
Oeur_gi	114650	117055	155888	Ogra_gi	45454	47123	-	65533	1227/1604	76.5%	38935	1669
Oeur_gi	120229	120416	155888	Ogra_gi	45201	45415	-	65533	150/187	80.2%	9734	214
Oeur_gi	121994	122068	155888	Ogra_gi	55963	56036	-	65533	56/73	76.7%	3920	73
Oeur_gi	123236	123426	155888	Ogra_gi	45022	45215	-	65533	144/187	77.0%	9209	193
Oeur_gi	124867	131650	155888	Ogra_gi	38927	45028	-	65533	4429/5842	75.8%	236053	6101
Oeur_gi	132026	136010	155888	Ogra_gi	35186	38995	-	65533	3670/3771	97.3%	331200	3809
Oeur_gi	136691	136844	155888	Ogra_gi	35073	35226	-	65533	141/153	92.2%	12629	153
Oeur_gi	154227	155888	155888	Ogra_gi	33383	35033	-	65533	1537/1640	93.7%	134068	1650
