#name1	zstart1	end1	size1	name2	zstart2+	end2+	strand2	size2	identity	idPct	score	length2
Same_gi	0	160910	160910	Same_gi	0	160910	+	160910	160908/160908	100.0%	15193965	160910
Same_gi	1836	1909	160910	Same_gi	1939	2005	+	160910	63/66	95.5%	5064	66
Same_gi	1939	2005	160910	Same_gi	1836	1909	+	160910	63/66	95.5%	5064	73
Same_gi	7818	8058	160910	Same_gi	7842	8073	+	160910	158/201	78.6%	5746	231
Same_gi	7842	8073	160910	Same_gi	7818	8058	+	160910	158/201	78.6%	5746	240
Same_gi	8796	8863	160910	Same_gi	67291	67358	+	160910	64/66	97.0%	5136	67
Same_gi	30908	31767	160910	Same_gi	30956	31857	+	160910	499/759	65.7%	4530	901
Same_gi	30908	32929	160910	Same_gi	30932	32959	+	160910	1168/1790	65.3%	16597	2027
Same_gi	30932	31861	160910	Same_gi	30908	31822	+	160910	549/806	68.1%	11544	914
Same_gi	30956	31857	160910	Same_gi	30908	31767	+	160910	499/759	65.7%	4530	859
Same_gi	32775	32839	160910	Same_gi	32895	32959	+	160910	64/64	100.0%	5941	64
Same_gi	32775	32869	160910	Same_gi	32865	32959	+	160910	94/94	100.0%	8725	94
Same_gi	32775	32899	160910	Same_gi	32835	32959	+	160910	124/124	100.0%	11509	124
Same_gi	32805	32959	160910	Same_gi	32775	32929	+	160910	154/154	100.0%	14293	154
Same_gi	32835	32959	160910	Same_gi	32775	32899	+	160910	124/124	100.0%	11509	124
Same_gi	32865	32959	160910	Same_gi	32775	32869	+	160910	94/94	100.0%	8725	94
Same_gi	32895	32959	160910	Same_gi	32775	32839	+	160910	64/64	100.0%	5941	64
Same_gi	43195	43259	160910	Same_gi	43315	43379	+	160910	64/64	100.0%	5941	64
Same_gi	43195	43289	160910	Same_gi	43285	43379	+	160910	94/94	100.0%	8725	94
Same_gi	43195	43319	160910	Same_gi	43255	43379	+	160910	124/124	100.0%	11509	124
Same_gi	43195	45222	160910	Same_gi	43225	45246	+	160910	1168/1790	65.3%	16597	2021
Same_gi	43225	45246	160910	Same_gi	43195	45222	+	160910	1168/1790	65.3%	16597	2027
Same_gi	43255	43379	160910	Same_gi	43195	43319	+	160910	124/124	100.0%	11509	124
Same_gi	43285	43379	160910	Same_gi	43195	43289	+	160910	94/94	100.0%	8725	94
Same_gi	43315	43379	160910	Same_gi	43195	43259	+	160910	64/64	100.0%	5941	64
Same_gi	44297	45198	160910	Same_gi	44387	45246	+	160910	499/759	65.7%	4530	859
Same_gi	45186	45246	160910	Same_gi	45138	45198	+	160910	50/60	83.3%	3875	60
Same_gi	62751	62797	160910	Same_gi	117050	117096	+	160910	41/46	89.1%	3644	46
Same_gi	67291	67358	160910	Same_gi	8796	8863	+	160910	64/66	97.0%	5136	67
Same_gi	68081	68312	160910	Same_gi	68096	68336	+	160910	158/201	78.6%	5746	240
Same_gi	68096	68336	160910	Same_gi	68081	68312	+	160910	158/201	78.6%	5746	231
Same_gi	74149	74215	160910	Same_gi	74245	74318	+	160910	63/66	95.5%	5064	73
Same_gi	74245	74318	160910	Same_gi	74149	74215	+	160910	63/66	95.5%	5064	66
Same_gi	89514	89591	160910	Same_gi	89526	89603	+	160910	60/77	77.9%	4817	77
Same_gi	89514	89621	160910	Same_gi	89520	89627	+	160910	74/107	69.2%	5113	107
Same_gi	89520	89627	160910	Same_gi	89514	89621	+	160910	74/107	69.2%	5113	107
Same_gi	89526	89603	160910	Same_gi	89514	89591	+	160910	60/77	77.9%	4817	77
Same_gi	101585	101757	160910	Same_gi	101660	101874	+	160910	140/163	85.9%	8380	214
Same_gi	101587	101678	160910	Same_gi	101755	101858	+	160910	80/91	87.9%	6095	103
Same_gi	101660	101874	160910	Same_gi	101585	101757	+	160910	140/163	85.9%	8380	172
Same_gi	101755	101858	160910	Same_gi	101587	101678	+	160910	80/91	87.9%	6095	91
Same_gi	117050	117096	160910	Same_gi	62751	62797	+	160910	41/46	89.1%	3644	46
Same_gi	119086	121136	160910	Same_gi	121289	123363	+	160910	1182/1927	61.3%	29165	2074
Same_gi	121289	123363	160910	Same_gi	119086	121136	+	160910	1182/1927	61.3%	29165	2050
Same_gi	0	34823	160910	Same_gi	41332	76154	-	160910	34810/34815	100.0%	3292174	34822
Same_gi	1836	1909	160910	Same_gi	74149	74215	-	160910	63/66	95.5%	5064	66
Same_gi	1939	2005	160910	Same_gi	74245	74318	-	160910	63/66	95.5%	5064	73
Same_gi	7818	8058	160910	Same_gi	68081	68312	-	160910	158/201	78.6%	5746	231
Same_gi	7842	8073	160910	Same_gi	68096	68336	-	160910	158/201	78.6%	5746	240
Same_gi	8796	8863	160910	Same_gi	8796	8863	-	160910	64/66	97.0%	5136	67
Same_gi	13357	13403	160910	Same_gi	117050	117096	-	160910	41/46	89.1%	3644	46
Same_gi	30908	31767	160910	Same_gi	44297	45198	-	160910	499/759	65.7%	4530	901
Same_gi	30908	32929	160910	Same_gi	43195	45222	-	160910	1168/1790	65.3%	16597	2027
Same_gi	30932	31861	160910	Same_gi	44332	45246	-	160910	549/806	68.1%	11544	914
Same_gi	30956	31857	160910	Same_gi	44387	45246	-	160910	499/759	65.7%	4530	859
Same_gi	32775	32839	160910	Same_gi	43195	43259	-	160910	64/64	100.0%	5941	64
Same_gi	32775	32869	160910	Same_gi	43195	43289	-	160910	94/94	100.0%	8725	94
Same_gi	32775	32899	160910	Same_gi	43195	43319	-	160910	124/124	100.0%	11509	124
Same_gi	32805	32959	160910	Same_gi	43225	43379	-	160910	154/154	100.0%	14293	154
Same_gi	32835	32959	160910	Same_gi	43255	43379	-	160910	124/124	100.0%	11509	124
Same_gi	32865	32959	160910	Same_gi	43285	43379	-	160910	94/94	100.0%	8725	94
Same_gi	32895	32959	160910	Same_gi	43315	43379	-	160910	64/64	100.0%	5941	64
Same_gi	35945	36024	160910	Same_gi	35945	36024	-	160910	62/69	89.9%	3911	79
Same_gi	37776	37876	160910	Same_gi	37776	37876	-	160910	80/99	80.8%	5143	100
Same_gi	41332	76154	160910	Same_gi	0	34823	-	160910	34810/34815	100.0%	3292174	34823
Same_gi	43195	43259	160910	Same_gi	32775	32839	-	160910	64/64	100.0%	5941	64
Same_gi	43195	43289	160910	Same_gi	32775	32869	-	160910	94/94	100.0%	8725	94
Same_gi	43195	43319	160910	Same_gi	32775	32899	-	160910	124/124	100.0%	11509	124
Same_gi	43195	45222	160910	Same_gi	30908	32929	-	160910	1168/1790	65.3%	16597	2021
Same_gi	43225	45246	160910	Same_gi	30932	32959	-	160910	1168/1790	65.3%	16597	2027
Same_gi	43255	43379	160910	Same_gi	32835	32959	-	160910	124/124	100.0%	11509	124
Same_gi	43285	43379	160910	Same_gi	32865	32959	-	160910	94/94	100.0%	8725	94
Same_gi	43315	43379	160910	Same_gi	32895	32959	-	160910	64/64	100.0%	5941	64
Same_gi	44297	45198	160910	Same_gi	30908	31767	-	160910	499/759	65.7%	4530	859
Same_gi	45186	45246	160910	Same_gi	30956	31016	-	160910	50/60	83.3%	3875	60
Same_gi	67291	67358	160910	Same_gi	67291	67358	-	160910	64/66	97.0%	5136	67
Same_gi	68081	68312	160910	Same_gi	7818	8058	-	160910	158/201	78.6%	5746	240
Same_gi	68096	68336	160910	Same_gi	7842	8073	-	160910	158/201	78.6%	5746	231
Same_gi	74149	74215	160910	Same_gi	1836	1909	-	160910	63/66	95.5%	5064	73
Same_gi	74245	74318	160910	Same_gi	1939	2005	-	160910	63/66	95.5%	5064	66
Same_gi	117050	117096	160910	Same_gi	13357	13403	-	160910	41/46	89.1%	3644	46
Same_gi	118444	118519	160910	Same_gi	118444	118519	-	160910	64/75	85.3%	5297	75
