#name1	zstart1	end1	size1	name2	zstart2+	end2+	strand2	size2	identity	idPct	score	length2
Ogra_gi	0	3369	65533	Ntab_gi	1484	5019	+	80000	2575/3251	79.2%	157095	3535
Ogra_gi	84	234	65533	Ntab_gi	0	138	+	80000	110/136	80.9%	6699	138
Ogra_gi	3347	4402	65533	Ntab_gi	5453	6519	+	80000	785/1008	77.9%	43141	1066
Ogra_gi	4413	5241	65533	Ntab_gi	7183	8095	+	80000	620/804	77.1%	28938	912
Ogra_gi	11514	11597	65533	Ntab_gi	30561	30634	+	80000	63/73	86.3%	4293	73
Ogra_gi	17153	19878	65533	Ntab_gi	47125	50337	+	80000	2181/2603	83.8%	125785	3212
Ogra_gi	20138	23056	65533	Ntab_gi	53916	56997	+	80000	2461/2864	85.9%	182477	3081
Ogra_gi	23099	23334	65533	Ntab_gi	59766	59992	+	80000	182/223	81.6%	12305	226
Ogra_gi	23273	24488	65533	Ntab_gi	60414	61389	+	80000	817/954	85.6%	56809	975
Ogra_gi	24585	25321	65533	Ntab_gi	68566	69317	+	80000	588/715	82.2%	38215	751
Ogra_gi	25320	25644	65533	Ntab_gi	70084	70419	+	80000	261/322	81.1%	18126	335
Ogra_gi	5232	5453	65533	Ntab_gi	47024	47244	-	80000	178/220	80.9%	13012	220
Ogra_gi	5466	5722	65533	Ntab_gi	45971	46254	-	80000	214/251	85.3%	14990	283
Ogra_gi	5721	6945	65533	Ntab_gi	42861	44294	-	80000	969/1191	81.4%	56176	1433
Ogra_gi	6894	9404	65533	Ntab_gi	36682	39467	-	80000	2014/2394	84.1%	128270	2785
Ogra_gi	9425	10017	65533	Ntab_gi	35613	36205	-	80000	506/578	87.5%	40058	592
Ogra_gi	10001	10486	65533	Ntab_gi	32947	33402	-	80000	304/406	74.9%	11969	455
Ogra_gi	10444	10964	65533	Ntab_gi	31898	32403	-	80000	449/499	90.0%	35797	505
Ogra_gi	10963	11627	65533	Ntab_gi	30542	31200	-	80000	505/613	82.4%	31194	658
Ogra_gi	11844	12192	65533	Ntab_gi	28757	29113	-	80000	261/331	78.9%	13827	356
Ogra_gi	12279	13504	65533	Ntab_gi	16024	17264	-	80000	1023/1203	85.0%	78340	1240
Ogra_gi	13496	17089	65533	Ntab_gi	10264	13884	-	80000	3060/3518	87.0%	234757	3620
Ogra_gi	17022	17242	65533	Ntab_gi	8634	8858	-	80000	175/213	82.2%	10667	224
Ogra_gi	20772	20842	65533	Ntab_gi	48520	48590	-	80000	50/70	71.4%	3547	70
Ogra_gi	25804	26087	65533	Ntab_gi	73347	73636	-	80000	172/283	60.8%	6595	289
Ogra_gi	26096	28414	65533	Ntab_gi	70367	72701	-	80000	1777/2161	82.2%	112514	2334
Ogra_gi	55963	56002	65533	Ntab_gi	45445	45484	-	80000	39/39	100.0%	3729	39
Ogra_gi	28380	35033	65533	Ntab_gi2	1476	8314	+	75943	5664/6499	87.2%	434389	6838
Ogra_gi	35073	35226	65533	Ntab_gi2	25503	25656	+	75943	139/153	90.8%	12385	153
Ogra_gi	35186	38946	65533	Ntab_gi2	26235	30197	+	75943	3642/3738	97.4%	328947	3962
Ogra_gi	38927	40196	65533	Ntab_gi2	30597	31835	+	75943	906/1170	77.4%	49923	1238
Ogra_gi	47109	48182	65533	Ntab_gi2	50966	52032	+	75943	783/999	78.4%	44816	1066
Ogra_gi	48163	51923	65533	Ntab_gi2	52432	56394	+	75943	3642/3738	97.4%	328947	3962
Ogra_gi	51883	58819	65533	Ntab_gi2	56973	64665	+	75943	6476/6857	94.4%	537188	7692
Ogra_gi	58814	65533	65533	Ntab_gi2	66114	72926	+	75943	5622/6308	89.1%	417740	6812
Ogra_gi	63734	63898	65533	Ntab_gi2	71118	71270	+	75943	109/138	79.0%	4989	152
Ogra_gi	64862	65533	65533	Ntab_gi2	73302	73988	+	75943	602/660	91.2%	48037	686
Ogra_gi	33405	35033	65533	Ntab_gi2	74315	75943	-	75943	1513/1618	93.5%	133122	1628
Ogra_gi	35073	35226	65533	Ntab_gi2	56973	57126	-	75943	139/153	90.8%	12385	153
Ogra_gi	35186	38946	65533	Ntab_gi2	52432	56394	-	75943	3642/3738	97.4%	328947	3962
Ogra_gi	38927	45026	65533	Ntab_gi2	45174	52032	-	75943	4322/5902	73.2%	207881	6858
Ogra_gi	45022	45205	65533	Ntab_gi2	43539	43720	-	75943	130/178	73.0%	7905	181
Ogra_gi	45154	45416	65533	Ntab_gi2	40397	40616	-	75943	164/219	74.9%	8796	219
Ogra_gi	45454	46833	65533	Ntab_gi2	35006	37205	-	75943	1051/1368	76.8%	28292	2199
Ogra_gi	47109	48182	65533	Ntab_gi2	30597	31663	-	75943	783/999	78.4%	44816	1066
Ogra_gi	48163	51923	65533	Ntab_gi2	26235	30197	-	75943	3642/3738	97.4%	328947	3962
Ogra_gi	51883	58819	65533	Ntab_gi2	17964	25656	-	75943	6476/6857	94.4%	537188	7692
Ogra_gi	55963	56004	65533	Ntab_gi2	42272	42313	-	75943	40/41	97.6%	3780	41
Ogra_gi	58814	65533	65533	Ntab_gi2	9703	16515	-	75943	5622/6308	89.1%	417740	6812
Ogra_gi	63734	63898	65533	Ntab_gi2	11359	11511	-	75943	109/138	79.0%	4989	152
Ogra_gi	64862	65533	65533	Ntab_gi2	8641	9327	-	75943	602/660	91.2%	48037	686
