#name1	zstart1	end1	size1	name2	zstart2+	end2+	strand2	size2	identity	idPct	score	length2
Oeur_gi	0	5009	155888	Cphe_gi	89408	94380	+	94380	4083/4733	86.3%	292595	4972
Oeur_gi	5249	7492	155888	Cphe_gi	0	2116	+	94380	1615/1912	84.5%	92795	2116
Oeur_gi	8066	9735	155888	Cphe_gi	2107	3286	+	94380	939/1092	86.0%	42724	1179
Oeur_gi	10020	10156	155888	Cphe_gi	3248	3376	+	94380	97/128	75.8%	5984	128
Oeur_gi	10685	11203	155888	Cphe_gi	3375	3882	+	94380	415/482	86.1%	27472	507
Oeur_gi	16609	17773	155888	Cphe_gi	3842	4993	+	94380	1005/1123	89.5%	79614	1151
Oeur_gi	18182	18432	155888	Cphe_gi	5041	5283	+	94380	200/230	87.0%	14108	242
Oeur_gi	25669	27176	155888	Cphe_gi	5396	6948	+	94380	1285/1476	87.1%	96395	1552
Oeur_gi	28719	29254	155888	Cphe_gi	6907	7365	+	94380	387/444	87.2%	25263	458
Oeur_gi	31915	32476	155888	Cphe_gi	7367	7951	+	94380	492/545	90.3%	37129	584
Oeur_gi	33132	33357	155888	Cphe_gi	7964	8206	+	94380	194/225	86.2%	12844	242
Oeur_gi	36965	40280	155888	Cphe_gi	8190	10773	+	94380	1959/2523	77.6%	93973	2583
Oeur_gi	37455	37766	155888	Cphe_gi	8660	8952	+	94380	230/284	81.0%	14271	292
Oeur_gi	41745	42592	155888	Cphe_gi	10017	10869	+	94380	690/819	84.2%	49299	852
Oeur_gi	45451	45490	155888	Cphe_gi	50000	50039	+	94380	37/39	94.9%	3467	39
Oeur_gi	46903	48467	155888	Cphe_gi	10831	12438	+	94380	1358/1519	89.4%	101737	1607
Oeur_gi	49109	50269	155888	Cphe_gi	12506	13764	+	94380	987/1147	86.1%	68574	1258
Oeur_gi	54300	54538	155888	Cphe_gi	13763	14022	+	94380	202/235	86.0%	14264	259
Oeur_gi	56915	62640	155888	Cphe_gi	14012	19341	+	94380	4353/4914	88.6%	306474	5329
Oeur_gi	61841	62119	155888	Cphe_gi	18599	18856	+	94380	181/244	74.2%	7336	257
Oeur_gi	66501	67868	155888	Cphe_gi	19329	20323	+	94380	785/928	84.6%	40035	994
Oeur_gi	68813	74777	155888	Cphe_gi	20217	25974	+	94380	4906/5566	88.1%	362532	5757
Oeur_gi	81451	88393	155888	Cphe_gi	25988	33000	+	94380	6082/6770	89.8%	489289	7012
Oeur_gi	88406	104499	155888	Cphe_gi	37651	53656	+	94380	15134/15688	96.5%	1334349	16005
Oeur_gi	93753	93874	155888	Cphe_gi	43026	43150	+	94380	82/120	68.3%	4118	124
Oeur_gi	105305	111258	155888	Cphe_gi	53647	59517	+	94380	5642/5810	97.1%	510521	5870
Oeur_gi	111123	111350	155888	Cphe_gi	59809	60036	+	94380	165/222	74.3%	8619	227
Oeur_gi	114937	116316	155888	Cphe_gi	60089	61195	+	94380	819/1005	81.5%	36855	1106
Oeur_gi	121994	122068	155888	Cphe_gi	49966	50039	+	94380	57/73	78.1%	4051	73
Oeur_gi	124669	137150	155888	Cphe_gi	61188	73382	+	94380	10607/11931	88.9%	843402	12194
Oeur_gi	137956	154049	155888	Cphe_gi	73373	89378	+	94380	15134/15688	96.5%	1334349	16005
Oeur_gi	148581	148702	155888	Cphe_gi	83879	84003	+	94380	82/120	68.3%	4118	124
Oeur_gi	154062	154405	155888	Cphe_gi	94028	94380	+	94380	307/338	90.8%	23819	352
Oeur_gi	0	4758	155888	Cphe_gi	32938	37621	-	94380	3950/4488	88.0%	293871	4683
Oeur_gi	45451	45490	155888	Cphe_gi	76990	77029	-	94380	37/39	94.9%	3467	39
Oeur_gi	48364	48577	155888	Cphe_gi	13676	13928	-	94380	138/207	66.7%	3614	252
Oeur_gi	54371	54443	155888	Cphe_gi	12335	12407	-	94380	53/72	73.6%	3851	72
Oeur_gi	88050	88393	155888	Cphe_gi	94028	94380	-	94380	307/338	90.8%	23819	352
Oeur_gi	88406	104499	155888	Cphe_gi	73373	89378	-	94380	15134/15688	96.5%	1334349	16005
Oeur_gi	93753	93874	155888	Cphe_gi	83879	84003	-	94380	82/120	68.3%	4118	124
Oeur_gi	105305	112329	155888	Cphe_gi	66484	73382	-	94380	6497/6828	95.2%	573038	6898
Oeur_gi	121994	122068	155888	Cphe_gi	76990	77063	-	94380	57/73	78.1%	4051	73
Oeur_gi	131105	131332	155888	Cphe_gi	59809	60036	-	94380	165/222	74.3%	8619	227
Oeur_gi	131197	137150	155888	Cphe_gi	53647	59517	-	94380	5642/5810	97.1%	510521	5870
Oeur_gi	137956	154049	155888	Cphe_gi	37651	53656	-	94380	15134/15688	96.5%	1334349	16005
Oeur_gi	148581	148702	155888	Cphe_gi	43026	43150	-	94380	82/120	68.3%	4118	124
Oeur_gi	154062	155888	155888	Cphe_gi	31151	33000	-	94380	1672/1809	92.4%	141892	1849
