#name1	zstart1	end1	size1	name2	zstart2+	end2+	strand2	size2	identity	idPct	score	length2
Oeur_gi	0	31929	155888	Ntab_gi	6	31433	+	80000	27624/30280	91.2%	2193667	31427
Oeur_gi	6784	7022	155888	Ntab_gi	6674	6924	+	80000	191/219	87.2%	10854	250
Oeur_gi	31901	62735	155888	Ntab_gi	31821	63210	+	80000	27752/30044	92.4%	2262414	31389
Oeur_gi	39222	41196	155888	Ntab_gi	41380	43342	+	80000	1148/1867	61.5%	28810	1962
Oeur_gi	41437	43399	155888	Ntab_gi	39165	41139	+	80000	1139/1879	60.6%	28327	1974
Oeur_gi	50015	50077	155888	Ntab_gi	28802	28863	+	80000	48/61	78.7%	3231	61
Oeur_gi	63362	80009	155888	Ntab_gi	63192	80000	+	80000	14880/16131	92.2%	1197486	16808
Oeur_gi	100774	100813	155888	Ntab_gi	45445	45484	+	80000	38/39	97.4%	3598	39
Oeur_gi	122019	122068	155888	Ntab_gi	45435	45484	+	80000	44/49	89.8%	3872	49
Oeur_gi	48364	48436	155888	Ntab_gi	54592	54664	-	80000	51/72	70.8%	3616	72
Oeur_gi	54371	54443	155888	Ntab_gi	48520	48592	-	80000	51/72	70.8%	3616	72
Oeur_gi	76899	76947	155888	Ntab_gi	76814	76862	-	80000	42/48	87.5%	3547	48
Oeur_gi	141642	141681	155888	Ntab_gi	45445	45484	-	80000	38/39	97.4%	3598	39
Oeur_gi	45441	45490	155888	Ntab_gi2	42264	42313	+	75943	45/49	91.8%	3994	49
Oeur_gi	45451	45490	155888	Ntab_gi2	20894	20933	+	75943	37/39	94.9%	3467	39
Oeur_gi	80009	155866	155888	Ntab_gi2	0	75943	+	75943	70879/74321	95.4%	6233345	75943
Oeur_gi	84123	84209	155888	Ntab_gi2	42235	42329	+	75943	68/86	79.1%	4142	94
Oeur_gi	93753	93811	155888	Ntab_gi2	13905	13966	+	75943	51/58	87.9%	3811	61
Oeur_gi	96215	96287	155888	Ntab_gi2	66228	66296	+	75943	60/68	88.2%	4410	68
Oeur_gi	100772	100813	155888	Ntab_gi2	42272	42313	+	75943	39/41	95.1%	3649	41
Oeur_gi	110574	110641	155888	Ntab_gi2	52212	52280	+	75943	52/67	77.6%	3584	68
Oeur_gi	121990	122092	155888	Ntab_gi2	4067	4175	+	75943	73/101	72.3%	3668	108
Oeur_gi	121994	122068	155888	Ntab_gi2	20860	20933	+	75943	57/73	78.1%	4051	73
Oeur_gi	131814	131881	155888	Ntab_gi2	30349	30417	+	75943	52/67	77.6%	3584	68
Oeur_gi	146168	146240	155888	Ntab_gi2	16333	16401	+	75943	61/68	89.7%	4624	68
Oeur_gi	148644	148702	155888	Ntab_gi2	68663	68724	+	75943	51/58	87.9%	3811	61
Oeur_gi	45451	45490	155888	Ntab_gi2	61696	61735	-	75943	37/39	94.9%	3467	39
Oeur_gi	86589	112332	155888	Ntab_gi2	50475	75943	-	75943	24804/25238	98.3%	2273525	25468
Oeur_gi	93753	93811	155888	Ntab_gi2	68663	68724	-	75943	51/58	87.9%	3811	61
Oeur_gi	96215	96287	155888	Ntab_gi2	16333	16401	-	75943	60/68	88.2%	4410	68
Oeur_gi	110574	110641	155888	Ntab_gi2	30349	30417	-	75943	52/67	77.6%	3584	68
Oeur_gi	121994	122068	155888	Ntab_gi2	61696	61769	-	75943	57/73	78.1%	4051	73
Oeur_gi	130225	155888	155888	Ntab_gi2	6664	32028	-	75943	24739/25158	98.3%	2270654	25364
Oeur_gi	131814	131881	155888	Ntab_gi2	52212	52280	-	75943	52/67	77.6%	3584	68
Oeur_gi	141642	141683	155888	Ntab_gi2	42272	42313	-	75943	39/41	95.1%	3649	41
Oeur_gi	146168	146240	155888	Ntab_gi2	66228	66296	-	75943	61/68	89.7%	4624	68
Oeur_gi	148644	148702	155888	Ntab_gi2	13905	13966	-	75943	51/58	87.9%	3811	61
