#name1	zstart1	end1	size1	name2	zstart2+	end2+	strand2	size2	identity	idPct	score	length2
Cphe_gi	0	94380	94380	Cphe_gi	0	94380	+	94380	94351/94351	100.0%	8895043	94380
Cphe_gi	2005	2046	94380	Cphe_gi	1989	2030	+	94380	39/41	95.1%	3429	41
Cphe_gi	17015	17136	94380	Cphe_gi	17147	17271	+	94380	94/117	80.3%	5971	124
Cphe_gi	17015	17169	94380	Cphe_gi	17114	17271	+	94380	128/150	85.3%	9186	157
Cphe_gi	17015	17202	94380	Cphe_gi	17081	17271	+	94380	160/183	87.4%	12128	190
Cphe_gi	17015	17206	94380	Cphe_gi	17048	17245	+	94380	172/191	90.1%	14359	197
Cphe_gi	17048	17245	94380	Cphe_gi	17015	17206	+	94380	172/191	90.1%	14359	191
Cphe_gi	17081	17271	94380	Cphe_gi	17015	17202	+	94380	160/183	87.4%	12128	187
Cphe_gi	17114	17271	94380	Cphe_gi	17015	17169	+	94380	128/150	85.3%	9186	154
Cphe_gi	17147	17271	94380	Cphe_gi	17015	17136	+	94380	94/117	80.3%	5971	121
Cphe_gi	42972	43099	94380	Cphe_gi	42981	43105	+	94380	89/124	71.8%	5340	124
Cphe_gi	42981	43105	94380	Cphe_gi	42972	43099	+	94380	89/124	71.8%	5340	127
Cphe_gi	44110	44274	94380	Cphe_gi	44128	44295	+	94380	129/151	85.4%	7709	167
Cphe_gi	44128	44295	94380	Cphe_gi	44110	44274	+	94380	129/151	85.4%	7709	164
Cphe_gi	44136	44233	94380	Cphe_gi	44211	44293	+	94380	70/82	85.4%	4680	82
Cphe_gi	44149	44253	94380	Cphe_gi	44203	44295	+	94380	88/92	95.7%	7345	92
Cphe_gi	44203	44295	94380	Cphe_gi	44149	44253	+	94380	88/92	95.7%	7345	104
Cphe_gi	44211	44293	94380	Cphe_gi	44136	44233	+	94380	70/82	85.4%	4680	97
Cphe_gi	46048	46097	94380	Cphe_gi	80932	80981	+	94380	48/49	98.0%	4387	49
Cphe_gi	59408	59524	94380	Cphe_gi	59837	59954	+	94380	85/112	75.9%	4040	117
Cphe_gi	59411	59670	94380	Cphe_gi	59744	59986	+	94380	182/233	78.1%	8619	242
Cphe_gi	59417	59849	94380	Cphe_gi	59427	59954	+	94380	366/417	87.8%	19580	527
Cphe_gi	59427	59954	94380	Cphe_gi	59417	59849	+	94380	366/417	87.8%	19580	432
