#name1	zstart1	end1	size1	name2	zstart2+	end2+	strand2	size2	identity	idPct	score	length2
Lphi_gi	8	15054	155103	Same_gi	0	14612	+	160910	13255/14239	93.1%	1077383	14612
Lphi_gi	15374	53537	155103	Same_gi	14484	52871	+	160910	35408/37466	94.5%	3054043	38387
Lphi_gi	38472	40446	155103	Same_gi	39862	41824	+	160910	1128/1873	60.2%	28396	1962
Lphi_gi	40599	42649	155103	Same_gi	37547	39621	+	160910	1186/1922	61.7%	28259	2074
Lphi_gi	44677	44716	155103	Same_gi	98113	98152	+	160910	36/39	92.3%	3345	39
Lphi_gi	59126	59604	155103	Same_gi	58509	58961	+	160910	340/446	76.2%	20346	452
Lphi_gi	59591	71825	155103	Same_gi	59500	71642	+	160910	10806/11708	92.3%	875150	12142
Lphi_gi	72469	88265	155103	Same_gi	71635	87518	+	160910	14677/15572	94.3%	1272892	15883
Lphi_gi	87464	87512	155103	Same_gi	86695	86743	+	160910	43/48	89.6%	3682	48
Lphi_gi	88969	110241	155103	Same_gi	87511	108503	+	160910	20023/20621	97.1%	1795753	20992
Lphi_gi	94547	94706	155103	Same_gi	93242	93397	+	160910	150/155	96.8%	13497	155
Lphi_gi	95234	95294	155103	Same_gi	152059	152114	+	160910	55/55	100.0%	4671	55
Lphi_gi	99790	99836	155103	Same_gi	43814	43860	+	160910	41/46	89.1%	3644	46
Lphi_gi	110272	111268	155103	Same_gi	128151	129024	+	160910	712/854	83.4%	47006	873
Lphi_gi	111361	112254	155103	Same_gi	108443	109327	+	160910	770/882	87.3%	61981	884
Lphi_gi	112236	113068	155103	Same_gi	127119	127958	+	160910	770/832	92.5%	67234	839
Lphi_gi	114383	114438	155103	Same_gi	124886	124951	+	160910	50/55	90.9%	3480	65
Lphi_gi	120086	120210	155103	Same_gi	126131	126255	+	160910	120/124	96.8%	10941	124
Lphi_gi	121217	121293	155103	Same_gi	98079	98154	+	160910	62/72	86.1%	4080	75
Lphi_gi	121242	121315	155103	Same_gi	43804	43871	+	160910	55/67	82.1%	3753	67
Lphi_gi	122018	122908	155103	Same_gi	126254	127138	+	160910	834/880	94.8%	73173	884
Lphi_gi	122889	129390	155103	Same_gi	109309	115820	+	160910	5043/6082	82.9%	340723	6511
Lphi_gi	129429	130425	155103	Same_gi	116642	117515	+	160910	712/854	83.4%	47006	873
Lphi_gi	130456	151728	155103	Same_gi	137163	158155	+	160910	20025/20621	97.1%	1796181	20992
Lphi_gi	145403	145463	155103	Same_gi	93552	93607	+	160910	55/55	100.0%	4671	55
Lphi_gi	145991	146151	155103	Same_gi	152269	152425	+	160910	151/156	96.8%	13597	156
Lphi_gi	152432	155070	155103	Same_gi	158148	160910	+	160910	2538/2620	96.9%	224760	2762
Lphi_gi	153185	153233	155103	Same_gi	158923	158971	+	160910	43/48	89.6%	3682	48
Lphi_gi	7287	7354	155103	Same_gi	7097	7168	-	160910	58/67	86.6%	4069	71
Lphi_gi	28206	28268	155103	Same_gi	27314	27371	-	160910	54/57	94.7%	4350	57
Lphi_gi	30714	30780	155103	Same_gi	29868	29934	-	160910	55/66	83.3%	4135	66
Lphi_gi	33328	33454	155103	Same_gi	32432	32560	-	160910	104/119	87.4%	7156	128
Lphi_gi	44677	44716	155103	Same_gi	147514	147553	-	160910	36/39	92.3%	3345	39
Lphi_gi	53490	58537	155103	Same_gi	52870	58051	-	160910	4752/5006	94.9%	414733	5181
Lphi_gi	53545	53711	155103	Same_gi	46841	47015	-	160910	102/158	64.6%	3659	174
Lphi_gi	78289	78340	155103	Same_gi	77416	77467	-	160910	47/51	92.2%	4068	51
Lphi_gi	85627	88265	155103	Same_gi	158148	160910	-	160910	2539/2620	96.9%	224891	2762
Lphi_gi	87464	87512	155103	Same_gi	158923	158971	-	160910	43/48	89.6%	3682	48
Lphi_gi	88969	110241	155103	Same_gi	137163	158155	-	160910	20023/20621	97.1%	1795753	20992
Lphi_gi	94547	94706	155103	Same_gi	152269	152424	-	160910	150/155	96.8%	13497	155
Lphi_gi	95234	95294	155103	Same_gi	93552	93607	-	160910	55/55	100.0%	4671	55
Lphi_gi	110272	111268	155103	Same_gi	116642	117515	-	160910	712/854	83.4%	47006	873
Lphi_gi	111361	112254	155103	Same_gi	136339	137223	-	160910	770/882	87.3%	61981	884
Lphi_gi	112236	113068	155103	Same_gi	117708	118546	-	160910	770/832	92.5%	67664	838
Lphi_gi	113202	120210	155103	Same_gi	119410	126091	-	160910	6007/6560	91.6%	483383	6681
Lphi_gi	121217	121293	155103	Same_gi	147512	147587	-	160910	62/72	86.1%	4080	75
Lphi_gi	122018	122908	155103	Same_gi	118527	119411	-	160910	834/880	94.8%	73173	884
Lphi_gi	122889	129390	155103	Same_gi	129846	136357	-	160910	5039/6078	82.9%	339692	6511
Lphi_gi	129429	130425	155103	Same_gi	128151	129024	-	160910	712/854	83.4%	47006	873
Lphi_gi	130456	151728	155103	Same_gi	87511	108503	-	160910	20025/20621	97.1%	1796181	20992
Lphi_gi	140861	140907	155103	Same_gi	43814	43860	-	160910	41/46	89.1%	3644	46
Lphi_gi	145403	145463	155103	Same_gi	152059	152114	-	160910	55/55	100.0%	4671	55
Lphi_gi	145991	146151	155103	Same_gi	93241	93397	-	160910	151/156	96.8%	13597	156
Lphi_gi	152432	155103	155103	Same_gi	84723	87518	-	160910	2567/2653	96.8%	226772	2795
Lphi_gi	153185	153233	155103	Same_gi	86695	86743	-	160910	43/48	89.6%	3682	48
