#name1	zstart1	end1	size1	name2	zstart2+	end2+	strand2	size2	identity	idPct	score	length2
Evir_gi	0	517	70028	Ntab_gi	11	844	+	155943	368/487	75.6%	6707	833
Evir_gi	0	2108	70028	Ntab_gi	1693	3662	+	155943	1404/1896	74.1%	70509	1969
Evir_gi	2258	2561	70028	Ntab_gi	7419	7774	+	155943	240/290	82.8%	11865	355
Evir_gi	2574	2693	70028	Ntab_gi	8612	8725	+	155943	104/113	92.0%	8687	113
Evir_gi	2700	2806	70028	Ntab_gi	10420	10534	+	155943	89/106	84.0%	5965	114
Evir_gi	2859	3061	70028	Ntab_gi	11148	11329	+	155943	150/174	86.2%	9678	181
Evir_gi	3107	3972	70028	Ntab_gi	16216	17099	+	155943	726/856	84.8%	56884	883
Evir_gi	4424	4969	70028	Ntab_gi	31926	32413	+	155943	399/476	83.8%	25437	487
Evir_gi	4928	5165	70028	Ntab_gi	36995	37253	+	155943	184/236	78.0%	10809	258
Evir_gi	5202	5898	70028	Ntab_gi	38237	38946	+	155943	577/673	85.7%	40615	709
Evir_gi	5963	7083	70028	Ntab_gi	47042	48348	+	155943	889/1081	82.2%	52133	1306
Evir_gi	7138	7373	70028	Ntab_gi	50081	50334	+	155943	180/225	80.0%	10108	253
Evir_gi	7360	7694	70028	Ntab_gi	54561	54905	+	155943	237/324	73.1%	10987	344
Evir_gi	7767	8063	70028	Ntab_gi	57871	58189	+	155943	219/276	79.3%	10246	318
Evir_gi	8216	9840	70028	Ntab_gi	59776	61389	+	155943	1320/1583	83.4%	99796	1613
Evir_gi	10046	10583	70028	Ntab_gi	68704	69176	+	155943	361/459	78.6%	18164	472
Evir_gi	10588	15119	70028	Ntab_gi	69868	74893	+	155943	3572/4355	82.0%	212117	5025
Evir_gi	15143	29911	70028	Ntab_gi	81273	97043	+	155943	12761/14432	88.4%	956265	15770
Evir_gi	19146	19557	70028	Ntab_gi	85569	85978	+	155943	314/404	77.7%	21171	409
Evir_gi	29860	42508	70028	Ntab_gi	98278	111835	+	155943	11229/12131	92.6%	877651	13557
Evir_gi	42665	59967	70028	Ntab_gi	125712	144351	+	155943	14556/16597	87.7%	1051297	18639
Evir_gi	59916	69953	70028	Ntab_gi	145586	155943	+	155943	9096/9861	92.2%	748088	10357
Evir_gi	19874	29911	70028	Ntab_gi	145586	155943	-	155943	9096/9861	92.2%	748088	10357
Evir_gi	29860	42508	70028	Ntab_gi	130794	144351	-	155943	11229/12131	92.6%	877651	13557
Evir_gi	42513	42633	70028	Ntab_gi	116126	116243	-	155943	99/117	84.6%	7565	117
Evir_gi	47120	59967	70028	Ntab_gi	98278	112028	-	155943	11349/12303	92.2%	881984	13750
Evir_gi	59916	70028	70028	Ntab_gi	86629	97043	-	155943	9141/9915	92.2%	750500	10414
