#name1	zstart1	end1	size1	name2	zstart2+	end2+	strand2	size2	identity	idPct	score	length2
Cphe_gi	0	2116	94380	Oeur_gi	5249	7492	+	155888	1615/1912	84.5%	92795	2243
Cphe_gi	2107	3286	94380	Oeur_gi	8066	9735	+	155888	939/1092	86.0%	42724	1669
Cphe_gi	3248	3376	94380	Oeur_gi	10020	10156	+	155888	97/128	75.8%	5984	136
Cphe_gi	3375	3882	94380	Oeur_gi	10685	11203	+	155888	415/482	86.1%	27472	518
Cphe_gi	3842	4993	94380	Oeur_gi	16609	17773	+	155888	1005/1123	89.5%	79614	1164
Cphe_gi	5041	5283	94380	Oeur_gi	18182	18432	+	155888	200/230	87.0%	14108	250
Cphe_gi	5396	6948	94380	Oeur_gi	25669	27176	+	155888	1285/1476	87.1%	96395	1507
Cphe_gi	6907	7365	94380	Oeur_gi	28719	29254	+	155888	387/444	87.2%	25263	535
Cphe_gi	7367	7951	94380	Oeur_gi	31915	32476	+	155888	492/545	90.3%	37129	561
Cphe_gi	7964	8206	94380	Oeur_gi	33132	33357	+	155888	194/225	86.2%	12844	225
Cphe_gi	8190	10773	94380	Oeur_gi	36965	40280	+	155888	1959/2523	77.6%	93973	3315
Cphe_gi	8660	8952	94380	Oeur_gi	37455	37766	+	155888	230/284	81.0%	14271	311
Cphe_gi	10017	10869	94380	Oeur_gi	41745	42592	+	155888	690/819	84.2%	49299	847
Cphe_gi	10831	12438	94380	Oeur_gi	46903	48467	+	155888	1358/1519	89.4%	101737	1564
Cphe_gi	12506	13764	94380	Oeur_gi	49109	50269	+	155888	987/1147	86.1%	68574	1160
Cphe_gi	13763	14022	94380	Oeur_gi	54300	54538	+	155888	202/235	86.0%	14264	238
Cphe_gi	14012	19341	94380	Oeur_gi	56915	62640	+	155888	4353/4914	88.6%	306474	5725
Cphe_gi	18599	18710	94380	Oeur_gi	61841	61949	+	155888	93/108	86.1%	7361	108
Cphe_gi	19329	20323	94380	Oeur_gi	66501	67868	+	155888	785/928	84.6%	40035	1367
Cphe_gi	20217	25974	94380	Oeur_gi	68813	74777	+	155888	4906/5566	88.1%	362532	5964
Cphe_gi	25988	33000	94380	Oeur_gi	81451	88393	+	155888	6082/6770	89.8%	489289	6942
Cphe_gi	37651	53656	94380	Oeur_gi	88406	104499	+	155888	15134/15688	96.5%	1334349	16093
Cphe_gi	43026	43150	94380	Oeur_gi	93753	93874	+	155888	82/120	68.3%	4118	121
Cphe_gi	49966	50039	94380	Oeur_gi	121994	122068	+	155888	57/73	78.1%	4051	74
Cphe_gi	50000	50039	94380	Oeur_gi	45451	45490	+	155888	37/39	94.9%	3467	39
Cphe_gi	53647	59517	94380	Oeur_gi	105305	111258	+	155888	5642/5810	97.1%	510521	5953
Cphe_gi	59809	60036	94380	Oeur_gi	111123	111350	+	155888	165/222	74.3%	8619	227
Cphe_gi	60089	61195	94380	Oeur_gi	114937	116316	+	155888	819/1005	81.5%	36855	1379
Cphe_gi	61188	73382	94380	Oeur_gi	124669	137150	+	155888	10607/11931	88.9%	843402	12481
Cphe_gi	73373	89378	94380	Oeur_gi	137956	154049	+	155888	15134/15688	96.5%	1334349	16093
Cphe_gi	83879	84003	94380	Oeur_gi	148581	148702	+	155888	82/120	68.3%	4118	121
Cphe_gi	89408	94380	94380	Oeur_gi	0	5009	+	155888	4083/4733	86.3%	292595	5009
Cphe_gi	94028	94380	94380	Oeur_gi	154062	154405	+	155888	307/338	90.8%	23819	343
Cphe_gi	12335	12407	94380	Oeur_gi	54371	54443	-	155888	53/72	73.6%	3851	72
Cphe_gi	13676	13928	94380	Oeur_gi	48364	48577	-	155888	138/207	66.7%	3614	213
Cphe_gi	31151	33000	94380	Oeur_gi	154062	155888	-	155888	1672/1809	92.4%	141892	1826
Cphe_gi	32938	37621	94380	Oeur_gi	0	4758	-	155888	3950/4488	88.0%	293871	4758
Cphe_gi	37651	53656	94380	Oeur_gi	137956	154049	-	155888	15134/15688	96.5%	1334349	16093
Cphe_gi	43026	43150	94380	Oeur_gi	148581	148702	-	155888	82/120	68.3%	4118	121
Cphe_gi	53647	59517	94380	Oeur_gi	131197	137150	-	155888	5642/5810	97.1%	510521	5953
Cphe_gi	59809	60036	94380	Oeur_gi	131105	131332	-	155888	165/222	74.3%	8619	227
Cphe_gi	66484	73382	94380	Oeur_gi	105305	112329	-	155888	6497/6828	95.2%	573038	7024
Cphe_gi	73373	89378	94380	Oeur_gi	88406	104499	-	155888	15134/15688	96.5%	1334349	16093
Cphe_gi	76990	77029	94380	Oeur_gi	45451	45490	-	155888	37/39	94.9%	3467	39
Cphe_gi	76990	77063	94380	Oeur_gi	121994	122068	-	155888	57/73	78.1%	4051	74
Cphe_gi	83879	84003	94380	Oeur_gi	93753	93874	-	155888	82/120	68.3%	4118	121
Cphe_gi	94028	94380	94380	Oeur_gi	88050	88393	-	155888	307/338	90.8%	23819	343
