#name1	zstart1	end1	size1	name2	zstart2+	end2+	strand2	size2	identity	idPct	score	length2
Cphe_gi	0	3314	94380	Lphi_gi	5428	9444	+	155103	2660/3092	86.0%	148156	4016
Cphe_gi	3269	3376	94380	Lphi_gi	9744	9851	+	155103	87/107	81.3%	6703	107
Cphe_gi	3301	3931	94380	Lphi_gi	10342	10991	+	155103	485/594	81.6%	28111	649
Cphe_gi	3842	4993	94380	Lphi_gi	16396	17580	+	155103	1029/1124	91.5%	82791	1184
Cphe_gi	5041	5283	94380	Lphi_gi	17989	18239	+	155103	196/231	84.8%	14029	250
Cphe_gi	5276	5405	94380	Lphi_gi	18935	19069	+	155103	113/129	87.6%	8874	134
Cphe_gi	5391	6948	94380	Lphi_gi	25479	26991	+	155103	1295/1481	87.4%	97423	1512
Cphe_gi	6907	7376	94380	Lphi_gi	28515	29073	+	155103	416/459	90.6%	29188	558
Cphe_gi	7361	7951	94380	Lphi_gi	31445	32034	+	155103	512/566	90.5%	39680	589
Cphe_gi	7971	8131	94380	Lphi_gi	32545	32695	+	155103	138/150	92.0%	10555	150
Cphe_gi	8190	10773	94380	Lphi_gi	36274	39530	+	155103	2027/2485	81.6%	107305	3256
Cphe_gi	10017	10943	94380	Lphi_gi	40995	41911	+	155103	735/884	83.1%	50892	916
Cphe_gi	10829	12469	94380	Lphi_gi	46125	47791	+	155103	1388/1542	90.0%	101762	1666
Cphe_gi	12450	13764	94380	Lphi_gi	48371	49576	+	155103	1019/1166	87.4%	68545	1205
Cphe_gi	13680	14044	94380	Lphi_gi	53489	53812	+	155103	257/322	79.8%	15285	323
Cphe_gi	14009	18608	94380	Lphi_gi	56179	60718	+	155103	3832/4224	90.7%	294802	4539
Cphe_gi	18599	19341	94380	Lphi_gi	61087	61891	+	155103	594/681	87.2%	38846	804
Cphe_gi	19329	20222	94380	Lphi_gi	65763	67047	+	155103	745/866	86.0%	43327	1284
Cphe_gi	20218	25958	94380	Lphi_gi	67822	73732	+	155103	5006/5544	90.3%	383465	5910
Cphe_gi	25988	33000	94380	Lphi_gi	80484	87412	+	155103	6172/6756	91.4%	506867	6928
Cphe_gi	37651	53656	94380	Lphi_gi	87425	103536	+	155103	15236/15724	96.9%	1356938	16111
Cphe_gi	42993	43132	94380	Lphi_gi	92781	92893	+	155103	87/112	77.7%	4388	112
Cphe_gi	43026	43090	94380	Lphi_gi	92781	92845	+	155103	50/64	78.1%	3892	64
Cphe_gi	49966	50041	94380	Lphi_gi	121217	121293	+	155103	62/72	86.1%	4080	76
Cphe_gi	50000	50039	94380	Lphi_gi	44677	44716	+	155103	36/39	92.3%	3345	39
Cphe_gi	53647	59517	94380	Lphi_gi	104344	110300	+	155103	5672/5817	97.5%	516393	5956
Cphe_gi	59809	60036	94380	Lphi_gi	110165	110392	+	155103	164/222	73.9%	8497	227
Cphe_gi	60028	61195	94380	Lphi_gi	114024	115463	+	155103	907/1089	83.3%	47458	1439
Cphe_gi	61242	73382	94380	Lphi_gi	123937	136353	+	155103	10844/11958	90.7%	895157	12416
Cphe_gi	73373	89378	94380	Lphi_gi	137161	153272	+	155103	15238/15724	96.9%	1357366	16111
Cphe_gi	83897	84036	94380	Lphi_gi	147804	147916	+	155103	87/112	77.7%	4388	112
Cphe_gi	83939	84003	94380	Lphi_gi	147852	147916	+	155103	50/64	78.1%	3892	64
Cphe_gi	89396	94380	94380	Lphi_gi	0	5167	+	155103	4255/4795	88.7%	313463	5167
Cphe_gi	94028	94380	94380	Lphi_gi	153285	153628	+	155103	308/338	91.1%	24033	343
Cphe_gi	12335	12407	94380	Lphi_gi	53639	53711	-	155103	53/72	73.6%	3851	72
Cphe_gi	31159	33000	94380	Lphi_gi	153285	155103	-	155103	1676/1793	93.5%	142974	1818
Cphe_gi	32938	37633	94380	Lphi_gi	0	4895	-	155103	4115/4549	90.5%	315837	4895
Cphe_gi	37651	53656	94380	Lphi_gi	137161	153272	-	155103	15238/15724	96.9%	1357366	16111
Cphe_gi	42993	43132	94380	Lphi_gi	147804	147916	-	155103	87/112	77.7%	4388	112
Cphe_gi	43026	43090	94380	Lphi_gi	147852	147916	-	155103	50/64	78.1%	3892	64
Cphe_gi	53647	59517	94380	Lphi_gi	130397	136353	-	155103	5672/5817	97.5%	516393	5956
Cphe_gi	59809	60036	94380	Lphi_gi	130305	130532	-	155103	164/222	73.9%	8497	227
Cphe_gi	66443	73382	94380	Lphi_gi	104344	111406	-	155103	6570/6873	95.6%	582947	7062
Cphe_gi	73373	89378	94380	Lphi_gi	87425	103536	-	155103	15236/15724	96.9%	1356938	16111
Cphe_gi	76988	77063	94380	Lphi_gi	121217	121293	-	155103	62/72	86.1%	4080	76
Cphe_gi	76990	77029	94380	Lphi_gi	44677	44716	-	155103	36/39	92.3%	3345	39
Cphe_gi	83897	84036	94380	Lphi_gi	92781	92893	-	155103	87/112	77.7%	4388	112
Cphe_gi	83939	84003	94380	Lphi_gi	92781	92845	-	155103	50/64	78.1%	3892	64
Cphe_gi	94028	94380	94380	Lphi_gi	87069	87412	-	155103	308/338	91.1%	24033	343
