#name1	zstart1	end1	size1	name2	zstart2+	end2+	strand2	size2	identity	idPct	score	length2
Ogra_gi	95	2102	65533	Evir_gi	0	2099	+	70028	1500/1949	77.0%	86532	2099
Ogra_gi	4477	4953	65533	Evir_gi	2100	2578	+	70028	316/415	76.1%	10327	478
Ogra_gi	17011	18239	65533	Evir_gi	5884	7083	+	70028	895/1129	79.3%	50387	1199
Ogra_gi	19620	19875	65533	Evir_gi	7133	7373	+	70028	179/230	77.8%	9715	240
Ogra_gi	20761	21019	65533	Evir_gi	7381	7652	+	70028	204/247	82.6%	12403	271
Ogra_gi	23087	23333	65533	Evir_gi	8200	8457	+	70028	191/244	78.3%	12656	257
Ogra_gi	23335	25673	65533	Evir_gi	8900	11108	+	70028	1631/2053	79.4%	91856	2208
Ogra_gi	28408	35033	65533	Evir_gi	15353	21487	+	70028	5082/5981	85.0%	348051	6134
Ogra_gi	32272	32673	65533	Evir_gi	19141	19568	+	70028	303/386	78.5%	17753	427
Ogra_gi	35209	38949	65533	Evir_gi	37039	40907	+	70028	3523/3682	95.7%	311118	3868
Ogra_gi	38937	40191	65533	Evir_gi	41304	42514	+	70028	877/1142	76.8%	46475	1210
Ogra_gi	46048	46634	65533	Evir_gi	42503	43101	+	70028	384/528	72.7%	10317	598
Ogra_gi	47109	48172	65533	Evir_gi	47485	48523	+	70028	754/973	77.5%	41224	1038
Ogra_gi	48160	51900	65533	Evir_gi	48920	52788	+	70028	3523/3682	95.7%	311118	3868
Ogra_gi	51996	65533	65533	Evir_gi	53257	66970	+	70028	10822/12364	87.5%	748632	13713
Ogra_gi	58026	58168	65533	Evir_gi	59395	59518	+	70028	113/123	91.9%	8297	123
Ogra_gi	64862	65533	65533	Evir_gi	67346	68004	+	70028	574/644	89.1%	43083	658
Ogra_gi	7282	8117	65533	Evir_gi	5185	5953	-	70028	611/745	82.0%	36235	768
Ogra_gi	8904	9139	65533	Evir_gi	4929	5159	-	70028	173/213	81.2%	9545	230
Ogra_gi	10485	10928	65533	Evir_gi	4425	4923	-	70028	372/430	86.5%	24081	498
Ogra_gi	12443	13315	65533	Evir_gi	3097	3969	-	70028	712/863	82.5%	54766	872
Ogra_gi	16040	16221	65533	Evir_gi	2859	3061	-	70028	151/174	86.8%	9688	202
Ogra_gi	16829	16933	65533	Evir_gi	2700	2800	-	70028	81/100	81.0%	5545	100
Ogra_gi	17152	17242	65533	Evir_gi	2602	2692	-	70028	81/90	90.0%	7369	90
Ogra_gi	26187	28431	65533	Evir_gi	10975	13138	-	70028	1629/2069	78.7%	93940	2163
Ogra_gi	33349	35033	65533	Evir_gi	68340	70028	-	70028	1511/1654	91.4%	125694	1688
Ogra_gi	35209	38949	65533	Evir_gi	48920	52788	-	70028	3523/3682	95.7%	311118	3868
Ogra_gi	38937	44674	65533	Evir_gi	42616	48523	-	70028	3941/5229	75.4%	190226	5907
Ogra_gi	47109	48172	65533	Evir_gi	41304	42342	-	70028	754/973	77.5%	41224	1038
Ogra_gi	48160	51900	65533	Evir_gi	37039	40907	-	70028	3523/3682	95.7%	311118	3868
Ogra_gi	51996	65533	65533	Evir_gi	22857	36570	-	70028	10822/12364	87.5%	748632	13713
Ogra_gi	58026	58168	65533	Evir_gi	30309	30432	-	70028	113/123	91.9%	8297	123
Ogra_gi	64862	65533	65533	Evir_gi	21823	22481	-	70028	574/644	89.1%	43083	658
