#name1	zstart1	end1	size1	name2	zstart2+	end2+	strand2	size2	identity	idPct	score	length2
Cphe_gi	0	3327	94380	Same_gi	5169	9167	+	160910	2638/3069	86.0%	144238	3998
Cphe_gi	3274	3376	94380	Same_gi	9385	9487	+	160910	83/102	81.4%	6646	102
Cphe_gi	3301	3854	94380	Same_gi	9971	10515	+	160910	437/516	84.7%	27880	544
Cphe_gi	3858	4993	94380	Same_gi	15505	16683	+	160910	973/1105	88.1%	75199	1178
Cphe_gi	5041	5283	94380	Same_gi	17092	17342	+	160910	199/231	86.1%	14397	250
Cphe_gi	5276	5429	94380	Same_gi	18047	18204	+	160910	129/152	84.9%	9353	157
Cphe_gi	5396	6958	94380	Same_gi	24594	26111	+	160910	1278/1484	86.1%	94836	1517
Cphe_gi	6907	7376	94380	Same_gi	27635	28188	+	160910	413/458	90.2%	28106	553
Cphe_gi	7368	7986	94380	Same_gi	30590	31188	+	160910	514/591	87.0%	38938	598
Cphe_gi	7939	8206	94380	Same_gi	31608	31857	+	160910	209/249	83.9%	12957	249
Cphe_gi	8190	10773	94380	Same_gi	35415	38705	+	160910	1972/2470	79.8%	94355	3290
Cphe_gi	8731	8952	94380	Same_gi	35977	36201	+	160910	184/217	84.8%	13414	224
Cphe_gi	10017	10869	94380	Same_gi	40170	41017	+	160910	701/819	85.6%	51041	847
Cphe_gi	10829	12470	94380	Same_gi	45304	47005	+	160910	1406/1560	90.1%	103930	1701
Cphe_gi	12335	12464	94380	Same_gi	57798	57946	+	160910	88/129	68.2%	3853	148
Cphe_gi	12450	13765	94380	Same_gi	47609	48855	+	160910	1068/1226	87.1%	76837	1246
Cphe_gi	16707	17044	94380	Same_gi	58455	58726	+	160910	180/266	67.7%	4816	271
Cphe_gi	17191	17444	94380	Same_gi	58708	58955	+	160910	194/240	80.8%	12647	247
Cphe_gi	17437	19341	94380	Same_gi	59500	61579	+	160910	1385/1612	85.9%	79887	2079
Cphe_gi	19329	20222	94380	Same_gi	65424	66704	+	160910	746/863	86.4%	42932	1280
Cphe_gi	20216	24059	94380	Same_gi	67475	71642	+	160910	3190/3701	86.2%	221219	4167
Cphe_gi	24641	25972	94380	Same_gi	71585	72908	+	160910	1090/1289	84.6%	76945	1323
Cphe_gi	25988	33000	94380	Same_gi	79599	86540	+	160910	6115/6793	90.0%	495312	6941
Cphe_gi	37651	38486	94380	Same_gi	86553	87518	+	160910	752/823	91.4%	57207	965
Cphe_gi	37690	37738	94380	Same_gi	86695	86743	+	160910	43/48	89.6%	3590	48
Cphe_gi	39190	53656	94380	Same_gi	87511	101826	+	160910	12920/13681	94.4%	1078664	14315
Cphe_gi	44908	45058	94380	Same_gi	93247	93397	+	160910	142/150	94.7%	13104	150
Cphe_gi	50000	50046	94380	Same_gi	43814	43860	+	160910	41/46	89.1%	3644	46
Cphe_gi	53647	59485	94380	Same_gi	102622	108552	+	160910	5619/5778	97.2%	508214	5930
Cphe_gi	59919	60036	94380	Same_gi	128151	128262	+	160910	89/111	80.2%	6028	111
Cphe_gi	61242	66495	94380	Same_gi	110357	115702	+	160910	3775/4923	76.7%	203137	5345
Cphe_gi	66462	67559	94380	Same_gi	116512	117515	+	160910	719/952	75.5%	35455	1003
Cphe_gi	67606	73382	94380	Same_gi	137205	143044	+	160910	5570/5720	97.4%	505828	5839
Cphe_gi	73373	87839	94380	Same_gi	143840	158155	+	160910	12920/13681	94.4%	1078664	14315
Cphe_gi	81971	82122	94380	Same_gi	152269	152420	+	160910	143/151	94.7%	13195	151
Cphe_gi	88543	89378	94380	Same_gi	158148	159113	+	160910	752/823	91.4%	57207	965
Cphe_gi	89291	89339	94380	Same_gi	158923	158971	+	160910	43/48	89.6%	3590	48
Cphe_gi	89404	94380	94380	Same_gi	0	5026	+	160910	4193/4759	88.1%	308363	5026
Cphe_gi	94028	94380	94380	Same_gi	159126	159469	+	160910	309/338	91.4%	24155	343
Cphe_gi	13683	14031	94380	Same_gi	57701	58008	-	160910	245/307	79.8%	13931	307
Cphe_gi	14009	16289	94380	Same_gi	53035	55296	-	160910	2014/2199	91.6%	165050	2261
Cphe_gi	31183	33000	94380	Same_gi	159126	160910	-	160910	1654/1769	93.5%	141597	1784
Cphe_gi	32938	37625	94380	Same_gi	0	4671	-	160910	4042/4482	90.2%	310728	4671
Cphe_gi	37651	38486	94380	Same_gi	158148	159113	-	160910	752/823	91.4%	57207	965
Cphe_gi	37690	37738	94380	Same_gi	158923	158971	-	160910	43/48	89.6%	3590	48
Cphe_gi	39190	53656	94380	Same_gi	143840	158155	-	160910	12920/13681	94.4%	1078664	14315
Cphe_gi	44908	45058	94380	Same_gi	152269	152419	-	160910	142/150	94.7%	13104	150
