#fida	fidb	identity
f0	f1	100.00
f2	f3	95.10
f4	f5	80.30
f6	f7	85.30
f8	f9	87.40
f10	f11	90.10
f12	f13	90.10
f14	f15	87.40
f16	f17	85.30
f18	f19	80.30
f20	f21	71.80
f22	f23	71.80
f24	f25	85.40
f26	f27	85.40
f28	f29	85.40
f30	f31	95.70
f32	f33	95.70
f34	f35	85.40
f36	f37	98.00
f38	f39	75.90
f40	f41	78.10
f42	f43	87.80
f44	f45	87.80
f46	f47	78.10
f48	f49	75.90
f50	f51	98.00
f52	f53	85.40
f54	f55	95.70
f56	f57	85.40
f58	f59	85.40
f60	f61	95.70
f62	f63	85.40
f64	f65	71.80
f66	f67	71.80
f68	f69	70.80
f70	f71	70.80
f72	f73	99.90
f74	f75	71.80
f76	f77	71.80
f78	f79	85.40
f80	f81	85.40
f82	f83	85.40
f84	f85	95.70
f86	f87	95.70
f88	f89	85.40
f90	f91	98.00
f92	f93	83.30
f94	f95	95.80
f96	f97	83.30
f98	f99	99.90
f100	f101	98.00
f102	f103	85.40
f104	f105	95.70
f106	f107	85.40
f108	f109	85.40
f110	f111	95.70
f112	f113	85.40
f114	f115	71.80
f116	f117	71.80
f118	f119	76.80
f120	f121	77.00
f122	f123	83.50
f124	f125	83.10
f126	f127	82.20
f128	f129	79.60
f130	f131	85.90
f132	f133	82.40
f134	f135	79.40
f136	f137	76.10
f138	f139	85.70
f140	f141	76.70
f142	f143	84.50
f144	f145	82.90
f146	f147	91.30
f148	f149	92.20
f150	f151	93.30
f152	f153	79.40
f154	f155	87.10
f156	f157	92.20
f158	f159	91.30
f160	f161	88.90
f162	f163	76.80
f164	f165	77.00
f166	f167	88.90
f168	f169	91.30
f170	f171	92.20
f172	f173	92.40
f174	f175	81.90
f176	f177	79.40
f178	f179	93.30
f180	f181	92.20
f182	f183	91.30
f184	f185	89.90
f186	f187	100.00
f188	f189	68.50
f190	f191	68.50
f192	f193	65.20
f194	f195	100.00
f196	f197	100.00
f198	f199	88.70
f200	f201	86.00
f202	f203	81.30
f204	f205	81.60
f206	f207	91.50
f208	f209	84.80
f210	f211	87.60
f212	f213	87.40
f214	f215	90.60
f216	f217	90.50
f218	f219	92.00
f220	f221	81.60
f222	f223	83.10
f224	f225	92.30
f226	f227	90.00
f228	f229	87.40
f230	f231	79.80
f232	f233	90.70
f234	f235	87.20
f236	f237	86.00
f238	f239	90.30
f240	f241	91.40
f242	f243	96.90
f244	f245	78.10
f246	f247	77.70
f248	f249	97.50
f250	f251	73.90
f252	f253	83.30
f254	f255	86.10
f256	f257	90.70
f258	f259	96.90
f260	f261	77.70
f262	f263	78.10
f264	f265	91.10
f266	f267	90.50
f268	f269	92.30
f270	f271	73.60
f272	f273	91.10
f274	f275	96.90
f276	f277	78.10
f278	f279	77.70
f280	f281	95.60
f282	f283	86.10
f284	f285	73.90
f286	f287	97.50
f288	f289	96.90
f290	f291	77.70
f292	f293	78.10
f294	f295	93.50
f296	f297	84.30
f298	f299	72.20
f300	f301	78.40
f302	f303	77.70
f304	f305	86.30
f306	f307	82.40
f308	f309	85.60
f310	f311	86.90
f312	f313	70.60
f314	f315	86.00
f316	f317	81.90
f318	f319	89.10
f320	f321	81.20
f322	f323	81.60
f324	f325	80.30
f326	f327	80.30
f328	f329	87.10
f330	f331	80.90
f332	f333	85.10
f334	f335	90.60
f336	f337	92.60
f338	f339	75.70
f340	f341	93.40
f342	f343	90.70
f344	f345	90.50
f346	f347	93.60
f348	f349	75.70
f350	f351	93.50
f352	f353	75.70
f354	f355	92.90
f356	f357	78.30
f358	f359	90.70
f360	f361	93.40
f362	f363	93.60
f364	f365	75.70
f366	f367	100.00
f368	f369	91.30
f370	f371	91.30
f372	f373	60.20
f374	f375	60.20
f376	f377	85.70
f378	f379	92.30
f380	f381	70.80
f382	f383	70.80
f384	f385	91.70
f386	f387	86.10
f388	f389	92.30
f390	f391	86.10
f392	f393	85.70
f394	f395	91.70
f396	f397	70.80
f398	f399	70.80
f400	f401	84.80
f402	f403	92.30
f404	f405	70.80
f406	f407	70.80
f408	f409	88.50
f410	f411	100.00
f412	f413	70.80
f414	f415	70.80
f416	f417	91.70
f418	f419	68.90
f420	f421	80.90
f422	f423	86.10
f424	f425	100.00
f426	f427	86.10
f428	f429	92.30
f430	f431	91.70
f432	f433	70.80
f434	f435	70.80
f436	f437	83.80
f438	f439	78.00
f440	f441	78.30
f442	f443	82.80
f444	f445	87.60
f446	f447	81.40
f448	f449	75.30
f450	f451	84.30
f452	f453	81.50
f454	f455	87.50
f456	f457	79.00
f458	f459	83.10
f460	f461	76.30
f462	f463	83.50
f464	f465	97.40
f466	f467	84.90
f468	f469	83.30
f470	f471	82.80
f472	f473	86.40
f474	f475	82.20
f476	f477	81.20
f478	f479	85.80
f480	f481	87.20
f482	f483	95.70
f484	f485	78.80
f486	f487	96.50
f488	f489	74.30
f490	f491	74.20
f492	f493	75.40
f494	f495	95.10
f496	f497	87.10
f498	f499	95.70
f500	f501	78.80
f502	f503	88.00
f504	f505	85.60
f506	f507	97.40
f508	f509	72.20
f510	f511	88.00
f512	f513	95.70
f514	f515	78.80
f516	f517	94.50
f518	f519	95.10
f520	f521	74.30
f522	f523	96.50
f524	f525	95.70
f526	f527	78.80
f528	f529	92.30
f530	f531	75.60
f532	f533	74.10
f534	f535	82.80
f536	f537	92.00
f538	f539	84.00
f540	f541	86.20
f542	f543	84.80
f544	f545	83.80
f546	f547	78.00
f548	f549	85.70
f550	f551	82.20
f552	f553	80.00
f554	f555	73.10
f556	f557	79.30
f558	f559	83.40
f560	f561	78.60
f562	f563	82.00
f564	f565	86.90
f566	f567	77.30
f568	f569	92.60
f570	f571	87.70
f572	f573	92.20
f574	f575	92.20
f576	f577	92.20
f578	f579	84.60
f580	f581	92.60
f582	f583	92.20
f584	f585	88.90
f586	f587	65.30
f588	f589	90.60
f590	f591	61.40
f592	f593	61.10
f594	f595	89.80
f596	f597	97.40
f598	f599	89.70
f600	f601	94.10
f602	f603	72.70
f604	f605	67.30
f606	f607	69.00
f608	f609	89.70
f610	f611	86.10
f612	f613	92.30
f614	f615	75.60
f616	f617	89.80
f618	f619	95.10
f620	f621	89.70
f622	f623	69.00
f624	f625	67.30
f626	f627	97.40
f628	f629	70.80
f630	f631	66.10
f632	f633	84.00
f634	f635	97.60
f636	f637	67.30
f638	f639	69.00
f640	f641	89.70
f642	f643	95.10
f644	f645	97.60
f646	f647	86.10
f648	f649	92.30
f650	f651	89.70
f652	f653	69.00
f654	f655	67.30
f656	f657	100.00
f658	f659	76.30
f660	f661	61.30
f662	f663	61.30
f664	f665	76.30
f666	f667	97.40
f668	f669	89.80
f670	f671	77.80
f672	f673	69.40
f674	f675	69.40
f676	f677	95.80
f678	f679	97.40
f680	f681	89.80
f682	f683	97.40
f684	f685	100.00
f686	f687	73.50
f688	f689	77.80
f690	f691	95.10
f692	f693	73.50
f694	f695	95.10
f696	f697	77.80
f698	f699	97.40
f700	f701	100.00
f702	f703	77.80
f704	f705	95.10
f706	f707	100.00
f708	f709	95.10
f710	f711	77.80
f712	f713	86.30
f714	f715	84.50
f716	f717	86.00
f718	f719	75.80
f720	f721	86.10
f722	f723	89.50
f724	f725	87.00
f726	f727	87.10
f728	f729	87.20
f730	f731	90.30
f732	f733	86.20
f734	f735	77.60
f736	f737	81.00
f738	f739	84.20
f740	f741	94.90
f742	f743	89.40
f744	f745	86.10
f746	f747	86.00
f748	f749	88.60
f750	f751	74.20
f752	f753	84.60
f754	f755	88.10
f756	f757	89.80
f758	f759	96.50
f760	f761	68.30
f762	f763	97.10
f764	f765	74.30
f766	f767	81.50
