#name1	zstart1	end1	size1	name2	zstart2+	end2+	strand2	size2	identity	idPct	score	length2
Lphi_gi	17	145	155103	Evir_gi	0	115	+	70028	97/115	84.3%	6427	115
Lphi_gi	548	1022	155103	Evir_gi	0	517	+	70028	302/418	72.2%	7386	517
Lphi_gi	1882	3807	155103	Evir_gi	0	2108	+	70028	1466/1870	78.4%	83907	2108
Lphi_gi	7495	8128	155103	Evir_gi	2111	2608	+	70028	370/476	77.7%	13276	497
Lphi_gi	8885	9050	155103	Evir_gi	2540	2693	+	70028	126/146	86.3%	9076	153
Lphi_gi	10756	10862	155103	Evir_gi	2700	2802	+	70028	84/102	82.4%	5934	102
Lphi_gi	11465	11646	155103	Evir_gi	2859	3061	+	70028	149/174	85.6%	9547	202
Lphi_gi	16479	17349	155103	Evir_gi	3105	3969	+	70028	743/855	86.9%	60314	864
Lphi_gi	30475	30852	155103	Evir_gi	4038	4379	+	70028	238/337	70.6%	9800	341
Lphi_gi	31506	32051	155103	Evir_gi	4382	4960	+	70028	441/513	86.0%	28156	578
Lphi_gi	36430	36680	155103	Evir_gi	4933	5165	+	70028	190/232	81.9%	11625	232
Lphi_gi	37530	38255	155103	Evir_gi	5185	5898	+	70028	607/681	89.1%	44003	713
Lphi_gi	46152	47490	155103	Evir_gi	5951	7192	+	70028	962/1184	81.2%	57086	1241
Lphi_gi	49096	49377	155103	Evir_gi	7124	7373	+	70028	195/239	81.6%	9965	249
Lphi_gi	53629	53927	155103	Evir_gi	7380	7679	+	70028	216/269	80.3%	12058	299
Lphi_gi	56881	57201	155103	Evir_gi	7765	8063	+	70028	224/279	80.3%	11241	298
Lphi_gi	58660	60258	155103	Evir_gi	8224	9845	+	70028	1379/1584	87.1%	111103	1621
Lphi_gi	67826	68500	155103	Evir_gi	10043	10738	+	70028	474/586	80.9%	21616	695
Lphi_gi	69121	73950	155103	Evir_gi	10676	15101	+	70028	3636/4273	85.1%	239028	4425
Lphi_gi	80311	95903	155103	Evir_gi	15143	29891	+	70028	13094/14452	90.6%	1031448	14748
Lphi_gi	84709	84871	155103	Evir_gi	19335	19497	+	70028	150/162	92.6%	13176	162
Lphi_gi	92775	92893	155103	Evir_gi	26855	26973	+	70028	87/115	75.7%	4666	118
Lphi_gi	97205	111062	155103	Evir_gi	29896	42494	+	70028	11500/12313	93.4%	916867	12598
Lphi_gi	121250	121293	155103	Evir_gi	32152	32195	+	70028	39/43	90.7%	3394	43
Lphi_gi	124628	143492	155103	Evir_gi	42663	59931	+	70028	15223/16823	90.5%	1167907	17268
Lphi_gi	144794	155103	155103	Evir_gi	59936	69980	+	70028	9227/9859	93.6%	775986	10044
Lphi_gi	147804	147922	155103	Evir_gi	62854	62972	+	70028	87/115	75.7%	4666	118
Lphi_gi	85552	95903	155103	Evir_gi	59936	70028	-	70028	9262/9901	93.5%	778278	10092
Lphi_gi	92775	92893	155103	Evir_gi	62854	62972	-	70028	87/115	75.7%	4666	118
Lphi_gi	97205	111457	155103	Evir_gi	46913	59931	-	70028	11780/12683	92.9%	929445	13018
Lphi_gi	115005	115217	155103	Evir_gi	42503	42744	-	70028	166/212	78.3%	8879	241
Lphi_gi	121250	121293	155103	Evir_gi	57632	57675	-	70028	39/43	90.7%	3394	43
Lphi_gi	129635	143492	155103	Evir_gi	29896	42494	-	70028	11500/12313	93.4%	916867	12598
Lphi_gi	144794	155103	155103	Evir_gi	19847	29891	-	70028	9227/9859	93.6%	775986	10044
Lphi_gi	147804	147922	155103	Evir_gi	26855	26973	-	70028	87/115	75.7%	4666	118
