#name1	zstart1	end1	size1	name2	zstart2+	end2+	strand2	size2	identity	idPct	score	length2
Ntab_gi	11	844	80000	Evir_gi	0	517	+	70028	368/487	75.6%	6707	517
Ntab_gi	1693	3662	80000	Evir_gi	0	2108	+	70028	1404/1896	74.1%	70509	2108
Ntab_gi	7419	7774	80000	Evir_gi	2258	2561	+	70028	240/290	82.8%	11865	303
Ntab_gi	8612	8725	80000	Evir_gi	2574	2693	+	70028	104/113	92.0%	8687	119
Ntab_gi	10420	10534	80000	Evir_gi	2700	2806	+	70028	89/106	84.0%	5965	106
Ntab_gi	11148	11329	80000	Evir_gi	2859	3061	+	70028	150/174	86.2%	9678	202
Ntab_gi	16216	17099	80000	Evir_gi	3107	3972	+	70028	726/856	84.8%	56884	865
Ntab_gi	31926	32413	80000	Evir_gi	4424	4969	+	70028	399/476	83.8%	25437	545
Ntab_gi	36995	37253	80000	Evir_gi	4928	5165	+	70028	184/236	78.0%	10809	237
Ntab_gi	38237	38946	80000	Evir_gi	5202	5898	+	70028	577/673	85.7%	40615	696
Ntab_gi	47042	48348	80000	Evir_gi	5963	7083	+	70028	889/1081	82.2%	52133	1120
Ntab_gi	50081	50334	80000	Evir_gi	7138	7373	+	70028	180/225	80.0%	10108	235
Ntab_gi	54561	54905	80000	Evir_gi	7360	7694	+	70028	237/324	73.1%	10987	334
Ntab_gi	57871	58189	80000	Evir_gi	7767	8063	+	70028	219/276	79.3%	10246	296
Ntab_gi	59776	61389	80000	Evir_gi	8216	9840	+	70028	1320/1583	83.4%	99796	1624
Ntab_gi	68704	69176	80000	Evir_gi	10046	10583	+	70028	361/459	78.6%	18164	537
Ntab_gi	69868	74893	80000	Evir_gi	10588	15119	+	70028	3572/4355	82.0%	212117	4531
Ntab_gi2	0	17043	75943	Evir_gi	14104	29911	+	70028	13355/15369	86.9%	948213	15807
Ntab_gi2	5555	5978	75943	Evir_gi	19132	19557	+	70028	323/418	77.3%	21512	425
Ntab_gi2	18278	31835	75943	Evir_gi	29860	42508	+	70028	11229/12131	92.6%	877651	12648
Ntab_gi2	45712	64351	75943	Evir_gi	42665	59967	+	70028	14556/16597	87.7%	1051297	17302
Ntab_gi2	65586	75943	75943	Evir_gi	59916	69953	+	70028	9096/9861	92.2%	748088	10037
Ntab_gi2	6629	17043	75943	Evir_gi	59916	70028	-	70028	9141/9915	92.2%	750500	10112
Ntab_gi2	18278	32028	75943	Evir_gi	47120	59967	-	70028	11349/12303	92.2%	881984	12847
Ntab_gi2	36126	36243	75943	Evir_gi	42513	42633	-	70028	99/117	84.6%	7565	120
Ntab_gi2	50794	64351	75943	Evir_gi	29860	42508	-	70028	11229/12131	92.6%	877651	12648
Ntab_gi2	65586	75943	75943	Evir_gi	19874	29911	-	70028	9096/9861	92.2%	748088	10037
