#name1	zstart1	end1	size1	name2	zstart2+	end2+	strand2	size2	identity	idPct	score	length2
Oeur_gi	5	831	155888	Evir_gi	0	517	+	70028	371/487	76.2%	7196	517
Oeur_gi	1639	3673	155888	Evir_gi	0	2136	+	70028	1472/1971	74.7%	79265	2136
Oeur_gi	8060	8433	155888	Evir_gi	2235	2574	+	70028	266/324	82.1%	14116	339
Oeur_gi	9292	9412	155888	Evir_gi	2573	2693	+	70028	111/120	92.5%	10014	120
Oeur_gi	11011	11117	155888	Evir_gi	2700	2802	+	70028	86/102	84.3%	6261	102
Oeur_gi	11728	11909	155888	Evir_gi	2859	3061	+	70028	150/174	86.2%	9678	202
Oeur_gi	16680	17546	155888	Evir_gi	3106	3970	+	70028	734/855	85.8%	59146	864
Oeur_gi	30873	31202	155888	Evir_gi	4076	4382	+	70028	225/291	77.3%	8887	306
Oeur_gi	31964	32493	155888	Evir_gi	4386	4960	+	70028	423/512	82.6%	27082	574
Oeur_gi	37122	37368	155888	Evir_gi	4934	5165	+	70028	178/207	86.0%	11119	231
Oeur_gi	38261	39003	155888	Evir_gi	5165	5898	+	70028	613/700	87.6%	43992	733
Oeur_gi	46969	48185	155888	Evir_gi	5975	7083	+	70028	886/1058	83.7%	55562	1108
Oeur_gi	49832	50121	155888	Evir_gi	7133	7390	+	70028	205/252	81.3%	11577	257
Oeur_gi	54332	54608	155888	Evir_gi	7352	7652	+	70028	217/263	82.5%	12403	300
Oeur_gi	57600	57920	155888	Evir_gi	7765	8063	+	70028	220/279	78.9%	10661	298
Oeur_gi	59349	60977	155888	Evir_gi	8202	9840	+	70028	1372/1598	85.9%	107506	1638
Oeur_gi	68818	69481	155888	Evir_gi	10043	10733	+	70028	463/590	78.5%	21433	690
Oeur_gi	70081	75009	155888	Evir_gi	10699	15127	+	70028	3571/4252	84.0%	227498	4428
Oeur_gi	81278	96928	155888	Evir_gi	15143	29911	+	70028	12949/14452	89.6%	998100	14768
Oeur_gi	85474	85874	155888	Evir_gi	19155	19557	+	70028	326/395	82.5%	23423	402
Oeur_gi	93770	93883	155888	Evir_gi	26860	26973	+	70028	86/110	78.2%	4977	113
Oeur_gi	98163	112043	155888	Evir_gi	29860	42508	+	70028	11485/12337	93.1%	909121	12648
Oeur_gi	122027	122069	155888	Evir_gi	32152	32194	+	70028	38/42	90.5%	3303	42
Oeur_gi	125408	144292	155888	Evir_gi	42663	59967	+	70028	14951/16767	89.2%	1113440	17304
Oeur_gi	145527	155888	155888	Evir_gi	59916	69973	+	70028	9177/9865	93.0%	762442	10057
Oeur_gi	148572	148685	155888	Evir_gi	62854	62967	+	70028	86/110	78.2%	4977	113
Oeur_gi	86533	96928	155888	Evir_gi	59916	70028	-	70028	9215/9914	92.9%	765724	10112
Oeur_gi	93770	93883	155888	Evir_gi	62854	62967	-	70028	86/110	78.2%	4977	113
Oeur_gi	98163	112339	155888	Evir_gi	47008	59967	-	70028	11689/12612	92.7%	918111	12959
Oeur_gi	115742	116086	155888	Evir_gi	42503	42846	-	70028	235/304	77.3%	8329	343
Oeur_gi	122027	122069	155888	Evir_gi	57633	57675	-	70028	38/42	90.5%	3303	42
Oeur_gi	130412	144292	155888	Evir_gi	29860	42508	-	70028	11485/12337	93.1%	909121	12648
Oeur_gi	145527	155888	155888	Evir_gi	19854	29911	-	70028	9177/9865	93.0%	762442	10057
Oeur_gi	148572	148685	155888	Evir_gi	26860	26973	-	70028	86/110	78.2%	4977	113
