#name1	zstart1	end1	size1	name2	zstart2+	end2+	strand2	size2	identity	idPct	score	length2
Same_gi	0	2762	160910	Lphi_gi	85627	88265	+	155103	2539/2620	96.9%	224891	2638
Same_gi	1939	1987	160910	Lphi_gi	87464	87512	+	155103	43/48	89.6%	3682	48
Same_gi	2755	23747	160910	Lphi_gi	88969	110241	+	155103	20023/20621	97.1%	1795753	21272
Same_gi	8485	8641	160910	Lphi_gi	94546	94706	+	155103	151/156	96.8%	13597	160
Same_gi	8796	8851	160910	Lphi_gi	145403	145463	+	155103	55/55	100.0%	4671	60
Same_gi	13323	13398	160910	Lphi_gi	121217	121293	+	155103	62/72	86.1%	4080	76
Same_gi	13357	13396	160910	Lphi_gi	44677	44716	+	155103	36/39	92.3%	3345	39
Same_gi	23687	24571	160910	Lphi_gi	111361	112254	+	155103	770/882	87.3%	61981	893
Same_gi	24553	31064	160910	Lphi_gi	122889	129390	+	155103	5039/6078	82.9%	339692	6501
Same_gi	31886	32759	160910	Lphi_gi	129429	130425	+	155103	712/854	83.4%	47006	996
Same_gi	34819	41500	160910	Lphi_gi	113202	120210	+	155103	6007/6560	91.6%	483383	7008
Same_gi	41499	42383	160910	Lphi_gi	122018	122908	+	155103	834/880	94.8%	73173	890
Same_gi	42364	43202	160910	Lphi_gi	112236	113068	+	155103	770/832	92.5%	67664	832
Same_gi	43395	44268	160910	Lphi_gi	110272	111268	+	155103	712/854	83.4%	47006	996
Same_gi	52407	73399	160910	Lphi_gi	130456	151728	+	155103	20025/20621	97.1%	1796181	21272
Same_gi	67303	67358	160910	Lphi_gi	95234	95294	+	155103	55/55	100.0%	4671	60
Same_gi	67513	67670	160910	Lphi_gi	145991	146152	+	155103	152/157	96.8%	13697	161
Same_gi	73392	76187	160910	Lphi_gi	152432	155103	+	155103	2567/2653	96.8%	226772	2671
Same_gi	74167	74215	160910	Lphi_gi	153185	153233	+	155103	43/48	89.6%	3682	48
Same_gi	83443	83494	160910	Lphi_gi	78289	78340	+	155103	47/51	92.2%	4068	51
Same_gi	102859	108040	160910	Lphi_gi	53490	58537	+	155103	4752/5006	94.9%	414733	5047
Same_gi	113895	114069	160910	Lphi_gi	53545	53711	+	155103	102/158	64.6%	3659	166
Same_gi	117050	117096	160910	Lphi_gi	140861	140907	+	155103	41/46	89.1%	3644	46
Same_gi	128350	128478	160910	Lphi_gi	33328	33454	+	155103	104/119	87.4%	7156	126
Same_gi	130976	131042	160910	Lphi_gi	30714	30780	+	155103	55/66	83.3%	4135	66
Same_gi	133539	133596	160910	Lphi_gi	28206	28268	+	155103	54/57	94.7%	4350	62
Same_gi	153742	153813	160910	Lphi_gi	7287	7354	+	155103	58/67	86.6%	4069	67
Same_gi	0	2762	160910	Lphi_gi	152432	155070	-	155103	2538/2620	96.9%	224760	2638
Same_gi	1939	1987	160910	Lphi_gi	153185	153233	-	155103	43/48	89.6%	3682	48
Same_gi	2755	23747	160910	Lphi_gi	130456	151728	-	155103	20025/20621	97.1%	1796181	21272
Same_gi	8485	8641	160910	Lphi_gi	145991	146151	-	155103	151/156	96.8%	13597	160
Same_gi	8796	8851	160910	Lphi_gi	95234	95294	-	155103	55/55	100.0%	4671	60
Same_gi	31886	32759	160910	Lphi_gi	110272	111268	-	155103	712/854	83.4%	47006	996
Same_gi	32952	33791	160910	Lphi_gi	112236	113068	-	155103	770/832	92.5%	67234	832
Same_gi	33772	34656	160910	Lphi_gi	122018	122908	-	155103	834/880	94.8%	73173	890
Same_gi	34655	34779	160910	Lphi_gi	120086	120210	-	155103	120/124	96.8%	10941	124
Same_gi	35959	36024	160910	Lphi_gi	114383	114438	-	155103	50/55	90.9%	3480	55
Same_gi	43395	44268	160910	Lphi_gi	129429	130425	-	155103	712/854	83.4%	47006	996
Same_gi	45090	51601	160910	Lphi_gi	122889	129390	-	155103	5043/6082	82.9%	340723	6501
Same_gi	51583	52467	160910	Lphi_gi	111361	112254	-	155103	770/882	87.3%	61981	893
Same_gi	52407	73399	160910	Lphi_gi	88969	110241	-	155103	20023/20621	97.1%	1795753	21272
Same_gi	62756	62831	160910	Lphi_gi	121217	121293	-	155103	62/72	86.1%	4080	76
Same_gi	62758	62797	160910	Lphi_gi	44677	44716	-	155103	36/39	92.3%	3345	39
Same_gi	67303	67358	160910	Lphi_gi	145403	145463	-	155103	55/55	100.0%	4671	60
Same_gi	67513	67670	160910	Lphi_gi	94545	94706	-	155103	152/157	96.8%	13697	161
Same_gi	73392	89275	160910	Lphi_gi	72469	88265	-	155103	14677/15572	94.3%	1272892	15796
Same_gi	74167	74215	160910	Lphi_gi	87464	87512	-	155103	43/48	89.6%	3682	48
Same_gi	89268	101410	160910	Lphi_gi	59591	71825	-	155103	10806/11708	92.3%	875150	12234
Same_gi	101949	102401	160910	Lphi_gi	59126	59604	-	155103	340/446	76.2%	20346	478
Same_gi	108039	146426	160910	Lphi_gi	15374	53537	-	155103	35408/37466	94.5%	3054043	38163
Same_gi	117039	117106	160910	Lphi_gi	121242	121315	-	155103	55/67	82.1%	3753	73
Same_gi	117050	117096	160910	Lphi_gi	99790	99836	-	155103	41/46	89.1%	3644	46
Same_gi	119086	121048	160910	Lphi_gi	38472	40446	-	155103	1128/1873	60.2%	28396	1974
Same_gi	121289	123363	160910	Lphi_gi	40599	42649	-	155103	1186/1922	61.7%	28259	2050
Same_gi	146298	160910	160910	Lphi_gi	8	15054	-	155103	13255/14239	93.1%	1077383	15046
