#name1	zstart1	end1	size1	name2	zstart2+	end2+	strand2	size2	identity	idPct	score	length2
Same_gi	0	14458	160910	Ntab_gi	2	14565	+	155943	11842/13653	86.7%	836948	14563
Same_gi	14462	30635	160910	Ntab_gi	15079	31324	+	155943	14003/15672	89.4%	1124001	16245
Same_gi	30584	52871	160910	Ntab_gi	31827	54463	+	155943	19147/21411	89.4%	1472295	22636
Same_gi	37547	39621	160910	Ntab_gi	41292	43342	+	155943	1192/1936	61.6%	29960	2050
Same_gi	39862	41824	160910	Ntab_gi	39165	41139	+	155943	1133/1858	61.0%	28584	1974
Same_gi	43804	43853	160910	Ntab_gi	122264	122313	+	155943	45/49	91.8%	3994	49
Same_gi	43814	43860	160910	Ntab_gi	100894	100940	+	155943	41/46	89.1%	3644	46
Same_gi	48581	48643	160910	Ntab_gi	28802	28863	+	155943	48/61	78.7%	3231	61
Same_gi	58603	58961	160910	Ntab_gi	60372	60730	+	155943	269/352	76.4%	17055	358
Same_gi	59500	61665	160910	Ntab_gi	60717	63201	+	155943	1848/2132	86.7%	129571	2484
Same_gi	62287	71642	160910	Ntab_gi	63192	72707	+	155943	7682/8790	87.4%	543266	9515
Same_gi	71635	87518	160910	Ntab_gi	73337	89356	+	155943	13905/15464	89.9%	1116080	16019
Same_gi	82253	82330	160910	Ntab_gi	122235	122313	+	155943	57/77	74.0%	3579	78
Same_gi	86695	86745	160910	Ntab_gi	88531	88581	+	155943	43/50	86.0%	3528	50
Same_gi	87511	93397	160910	Ntab_gi	90060	95815	+	155943	5133/5557	92.4%	420124	5755
Same_gi	93379	108535	160910	Ntab_gi	96158	111021	+	155943	14296/14679	97.4%	1288820	14863
Same_gi	98111	98152	160910	Ntab_gi	122272	122313	+	155943	39/41	95.1%	3649	41
Same_gi	98113	98152	160910	Ntab_gi	45445	45484	+	155943	38/39	97.4%	3598	39
Same_gi	108516	109327	160910	Ntab_gi	112073	112869	+	155943	630/789	79.8%	43842	796
Same_gi	109309	115702	160910	Ntab_gi	123947	130493	+	155943	4599/6032	76.2%	256359	6546
Same_gi	116633	117515	160910	Ntab_gi	130587	131607	+	155943	700/863	81.1%	43579	1020
Same_gi	126133	126255	160910	Ntab_gi	121103	121222	+	155943	108/119	90.8%	9025	119
Same_gi	126254	127138	160910	Ntab_gi	123061	123966	+	155943	774/879	88.1%	61734	905
Same_gi	127120	127944	160910	Ntab_gi	112852	113688	+	155943	723/823	87.8%	59327	836
Same_gi	128151	129019	160910	Ntab_gi	111022	112028	+	155943	694/849	81.7%	43521	1006
Same_gi	137131	152287	160910	Ntab_gi	131608	146471	+	155943	14296/14679	97.4%	1288820	14863
Same_gi	152269	158155	160910	Ntab_gi	146814	152569	+	155943	5133/5557	92.4%	420124	5755
Same_gi	158148	160910	160910	Ntab_gi	153273	155926	+	155943	2517/2631	95.7%	220066	2653
Same_gi	158921	158971	160910	Ntab_gi	154048	154098	+	155943	43/50	86.0%	3528	50
Same_gi	32433	32564	160910	Ntab_gi	34057	34193	-	155943	97/129	75.2%	4773	136
Same_gi	43814	43860	160910	Ntab_gi	141689	141735	-	155943	41/46	89.1%	3644	46
Same_gi	46841	46913	160910	Ntab_gi	54592	54664	-	155943	50/72	69.4%	3494	72
Same_gi	52897	58019	160910	Ntab_gi	54443	59661	-	155943	4557/5006	91.0%	372975	5218
Same_gi	84738	87518	160910	Ntab_gi	153273	155943	-	155943	2533/2648	95.7%	221088	2670
Same_gi	86695	86745	160910	Ntab_gi	154048	154098	-	155943	43/50	86.0%	3528	50
Same_gi	87511	93397	160910	Ntab_gi	146814	152569	-	155943	5133/5557	92.4%	420124	5755
Same_gi	93379	108535	160910	Ntab_gi	131608	146471	-	155943	14296/14679	97.4%	1288820	14863
Same_gi	116647	117515	160910	Ntab_gi	111022	112028	-	155943	694/849	81.7%	43521	1006
Same_gi	117722	118545	160910	Ntab_gi	112852	113688	-	155943	723/823	87.8%	59663	836
Same_gi	118527	119411	160910	Ntab_gi	123061	123966	-	155943	774/879	88.1%	61734	905
Same_gi	119410	126091	160910	Ntab_gi	113817	121222	-	155943	5453/6452	84.5%	361121	7405
Same_gi	128151	129033	160910	Ntab_gi	130587	131607	-	155943	700/863	81.1%	43579	1020
Same_gi	129964	136357	160910	Ntab_gi	123947	130493	-	155943	4593/6028	76.2%	256053	6546
Same_gi	136339	137150	160910	Ntab_gi	112073	112869	-	155943	630/789	79.8%	43842	796
Same_gi	137131	152287	160910	Ntab_gi	96158	111021	-	155943	14296/14679	97.4%	1288820	14863
Same_gi	147514	147553	160910	Ntab_gi	45445	45484	-	155943	38/39	97.4%	3598	39
Same_gi	147514	147555	160910	Ntab_gi	122272	122313	-	155943	39/41	95.1%	3649	41
Same_gi	152269	158155	160910	Ntab_gi	90060	95815	-	155943	5133/5557	92.4%	420124	5755
Same_gi	158148	160910	160910	Ntab_gi	86703	89356	-	155943	2517/2631	95.7%	220066	2653
Same_gi	158921	158971	160910	Ntab_gi	88531	88581	-	155943	43/50	86.0%	3528	50
