#name1	zstart1	end1	size1	name2	zstart2+	end2+	strand2	size2	identity	idPct	score	length2
Lphi_gi	6	31544	155103	Ntab_gi	0	31364	+	155943	26584/29911	88.9%	2018028	31364
Lphi_gi	31446	61977	155103	Ntab_gi	31827	63201	+	155943	26646/29402	90.6%	2088803	31374
Lphi_gi	38472	40446	155103	Ntab_gi	41380	43342	+	155943	1142/1868	61.1%	29760	1962
Lphi_gi	40687	42649	155103	Ntab_gi	39165	41139	+	155943	1142/1859	61.4%	27603	1974
Lphi_gi	44667	44716	155103	Ntab_gi	122264	122313	+	155943	44/49	89.8%	3872	49
Lphi_gi	44677	44716	155103	Ntab_gi	100894	100933	+	155943	36/39	92.3%	3345	39
Lphi_gi	49290	49414	155103	Ntab_gi	28802	28923	+	155943	79/121	65.3%	3386	121
Lphi_gi	62568	155089	155103	Ntab_gi	63192	155943	+	155943	84079/90106	93.3%	7134783	92751
Lphi_gi	83143	83229	155103	Ntab_gi	122235	122329	+	155943	65/86	75.6%	3664	94
Lphi_gi	92780	92893	155103	Ntab_gi	93907	94020	+	155943	78/113	69.0%	4402	113
Lphi_gi	92802	92909	155103	Ntab_gi	93893	94000	+	155943	72/107	67.3%	3672	107
Lphi_gi	95222	95294	155103	Ntab_gi	146228	146296	+	155943	61/68	89.7%	4633	68
Lphi_gi	99788	99829	155103	Ntab_gi	122272	122313	+	155943	39/41	95.1%	3649	41
Lphi_gi	99790	99829	155103	Ntab_gi	45445	45484	+	155943	38/39	97.4%	3598	39
Lphi_gi	121213	121291	155103	Ntab_gi	84067	84144	+	155943	56/77	72.7%	3446	77
Lphi_gi	121217	121293	155103	Ntab_gi	100860	100935	+	155943	62/72	86.1%	4080	75
Lphi_gi	121242	121291	155103	Ntab_gi	45435	45484	+	155943	44/49	89.8%	3872	49
Lphi_gi	145403	145475	155103	Ntab_gi	96333	96401	+	155943	61/68	89.7%	4633	68
Lphi_gi	147788	147895	155103	Ntab_gi	148629	148736	+	155943	72/107	67.3%	3672	107
Lphi_gi	147804	147917	155103	Ntab_gi	148609	148722	+	155943	78/113	69.0%	4402	113
Lphi_gi	44677	44716	155103	Ntab_gi	141696	141735	-	155943	36/39	92.3%	3345	39
Lphi_gi	47634	47762	155103	Ntab_gi	54524	54664	-	155943	84/127	66.1%	3514	140
Lphi_gi	53639	53711	155103	Ntab_gi	48520	48592	-	155943	51/72	70.8%	3616	72
Lphi_gi	75854	75904	155103	Ntab_gi	76814	76864	-	155943	42/50	84.0%	3597	50
Lphi_gi	85608	111419	155103	Ntab_gi	130424	155943	-	155943	24689/25300	97.6%	2251745	25519
Lphi_gi	92780	92893	155103	Ntab_gi	148609	148722	-	155943	78/113	69.0%	4402	113
Lphi_gi	92802	92909	155103	Ntab_gi	148629	148736	-	155943	72/107	67.3%	3672	107
Lphi_gi	95222	95294	155103	Ntab_gi	96333	96401	-	155943	61/68	89.7%	4633	68
Lphi_gi	121217	121293	155103	Ntab_gi	141694	141769	-	155943	62/72	86.1%	4080	75
Lphi_gi	129335	155103	155103	Ntab_gi	86671	112137	-	155943	24647/25258	97.6%	2249246	25466
Lphi_gi	140868	140907	155103	Ntab_gi	45445	45484	-	155943	38/39	97.4%	3598	39
Lphi_gi	140868	140909	155103	Ntab_gi	122272	122313	-	155943	39/41	95.1%	3649	41
Lphi_gi	145403	145475	155103	Ntab_gi	146228	146296	-	155943	61/68	89.7%	4633	68
Lphi_gi	147788	147895	155103	Ntab_gi	93893	94000	-	155943	72/107	67.3%	3672	107
Lphi_gi	147804	147917	155103	Ntab_gi	93907	94020	-	155943	78/113	69.0%	4402	113
