#name1	zstart1	end1	size1	name2	zstart2+	end2+	strand2	size2	identity	idPct	score	length2
Same_gi	0	160910	160910	Same_gi	0	160910	+	160910	160908/160908	100.0%	15193965	160910
Same_gi	37547	39621	160910	Same_gi	39774	41824	+	160910	1182/1927	61.3%	29165	2050
Same_gi	39774	41824	160910	Same_gi	37547	39621	+	160910	1182/1927	61.3%	29165	2074
Same_gi	43814	43860	160910	Same_gi	98113	98159	+	160910	41/46	89.1%	3644	46
Same_gi	59036	59250	160910	Same_gi	59153	59325	+	160910	140/163	85.9%	8380	172
Same_gi	59052	59155	160910	Same_gi	59232	59323	+	160910	80/91	87.9%	6095	91
Same_gi	59153	59325	160910	Same_gi	59036	59250	+	160910	140/163	85.9%	8380	214
Same_gi	59232	59323	160910	Same_gi	59052	59155	+	160910	80/91	87.9%	6095	103
Same_gi	71283	71390	160910	Same_gi	71289	71396	+	160910	74/107	69.2%	5113	107
Same_gi	71289	71396	160910	Same_gi	71283	71390	+	160910	74/107	69.2%	5113	107
Same_gi	71307	71384	160910	Same_gi	71319	71396	+	160910	60/77	77.9%	4817	77
Same_gi	71319	71396	160910	Same_gi	71307	71384	+	160910	60/77	77.9%	4817	77
Same_gi	86592	86665	160910	Same_gi	86695	86761	+	160910	63/66	95.5%	5064	66
Same_gi	86695	86761	160910	Same_gi	86592	86665	+	160910	63/66	95.5%	5064	73
Same_gi	92574	92814	160910	Same_gi	92598	92829	+	160910	158/201	78.6%	5746	231
Same_gi	92598	92829	160910	Same_gi	92574	92814	+	160910	158/201	78.6%	5746	240
Same_gi	93552	93619	160910	Same_gi	152047	152114	+	160910	64/66	97.0%	5136	67
Same_gi	98113	98159	160910	Same_gi	43814	43860	+	160910	41/46	89.1%	3644	46
Same_gi	115664	116523	160910	Same_gi	115712	116613	+	160910	499/759	65.7%	4530	901
Same_gi	115664	117685	160910	Same_gi	115688	117715	+	160910	1168/1790	65.3%	16597	2027
Same_gi	115688	116617	160910	Same_gi	115664	116578	+	160910	549/806	68.1%	11544	914
Same_gi	115712	116613	160910	Same_gi	115664	116523	+	160910	499/759	65.7%	4530	859
Same_gi	117531	117595	160910	Same_gi	117651	117715	+	160910	64/64	100.0%	5941	64
Same_gi	117531	117625	160910	Same_gi	117621	117715	+	160910	94/94	100.0%	8725	94
Same_gi	117531	117655	160910	Same_gi	117591	117715	+	160910	124/124	100.0%	11509	124
Same_gi	117561	117715	160910	Same_gi	117531	117685	+	160910	154/154	100.0%	14293	154
Same_gi	117591	117715	160910	Same_gi	117531	117655	+	160910	124/124	100.0%	11509	124
Same_gi	117621	117715	160910	Same_gi	117531	117625	+	160910	94/94	100.0%	8725	94
Same_gi	117651	117715	160910	Same_gi	117531	117595	+	160910	64/64	100.0%	5941	64
Same_gi	127951	128015	160910	Same_gi	128071	128135	+	160910	64/64	100.0%	5941	64
Same_gi	127951	128045	160910	Same_gi	128041	128135	+	160910	94/94	100.0%	8725	94
Same_gi	127951	128075	160910	Same_gi	128011	128135	+	160910	124/124	100.0%	11509	124
Same_gi	127951	129978	160910	Same_gi	127981	130002	+	160910	1168/1790	65.3%	16597	2021
Same_gi	127981	130002	160910	Same_gi	127951	129978	+	160910	1168/1790	65.3%	16597	2027
Same_gi	128011	128135	160910	Same_gi	127951	128075	+	160910	124/124	100.0%	11509	124
Same_gi	128041	128135	160910	Same_gi	127951	128045	+	160910	94/94	100.0%	8725	94
Same_gi	128071	128135	160910	Same_gi	127951	128015	+	160910	64/64	100.0%	5941	64
Same_gi	129053	129954	160910	Same_gi	129143	130002	+	160910	499/759	65.7%	4530	859
Same_gi	129942	130002	160910	Same_gi	129894	129954	+	160910	50/60	83.3%	3875	60
Same_gi	152047	152114	160910	Same_gi	93552	93619	+	160910	64/66	97.0%	5136	67
Same_gi	152837	153068	160910	Same_gi	152852	153092	+	160910	158/201	78.6%	5746	240
Same_gi	152852	153092	160910	Same_gi	152837	153068	+	160910	158/201	78.6%	5746	231
Same_gi	158905	158971	160910	Same_gi	159001	159074	+	160910	63/66	95.5%	5064	73
Same_gi	159001	159074	160910	Same_gi	158905	158971	+	160910	63/66	95.5%	5064	66
Same_gi	29863	29939	160910	Same_gi	29863	29939	-	160910	64/76	84.2%	4932	76
Same_gi	42391	42466	160910	Same_gi	42391	42466	-	160910	64/75	85.3%	5297	75
Same_gi	43814	43860	160910	Same_gi	147507	147553	-	160910	41/46	89.1%	3644	46
Same_gi	84756	119578	160910	Same_gi	126087	160910	-	160910	34810/34815	100.0%	3292174	34823
Same_gi	86592	86665	160910	Same_gi	158905	158971	-	160910	63/66	95.5%	5064	66
Same_gi	86695	86761	160910	Same_gi	159001	159074	-	160910	63/66	95.5%	5064	73
Same_gi	92574	92814	160910	Same_gi	152837	153068	-	160910	158/201	78.6%	5746	231
Same_gi	92598	92829	160910	Same_gi	152852	153092	-	160910	158/201	78.6%	5746	240
Same_gi	93552	93619	160910	Same_gi	93552	93619	-	160910	64/66	97.0%	5136	67
Same_gi	115664	116523	160910	Same_gi	129053	129954	-	160910	499/759	65.7%	4530	901
Same_gi	115664	117685	160910	Same_gi	127951	129978	-	160910	1168/1790	65.3%	16597	2027
Same_gi	115688	116617	160910	Same_gi	129088	130002	-	160910	549/806	68.1%	11544	914
Same_gi	115712	116613	160910	Same_gi	129143	130002	-	160910	499/759	65.7%	4530	859
Same_gi	117531	117595	160910	Same_gi	127951	128015	-	160910	64/64	100.0%	5941	64
Same_gi	117531	117625	160910	Same_gi	127951	128045	-	160910	94/94	100.0%	8725	94
Same_gi	117531	117655	160910	Same_gi	127951	128075	-	160910	124/124	100.0%	11509	124
Same_gi	117561	117715	160910	Same_gi	127981	128135	-	160910	154/154	100.0%	14293	154
Same_gi	117591	117715	160910	Same_gi	128011	128135	-	160910	124/124	100.0%	11509	124
Same_gi	117621	117715	160910	Same_gi	128041	128135	-	160910	94/94	100.0%	8725	94
Same_gi	117651	117715	160910	Same_gi	128071	128135	-	160910	64/64	100.0%	5941	64
Same_gi	123034	123134	160910	Same_gi	123034	123134	-	160910	80/99	80.8%	5143	100
Same_gi	124886	124965	160910	Same_gi	124886	124965	-	160910	62/69	89.9%	3911	79
Same_gi	126087	160910	160910	Same_gi	84756	119578	-	160910	34810/34815	100.0%	3292174	34822
Same_gi	127951	128015	160910	Same_gi	117531	117595	-	160910	64/64	100.0%	5941	64
Same_gi	127951	128045	160910	Same_gi	117531	117625	-	160910	94/94	100.0%	8725	94
Same_gi	127951	128075	160910	Same_gi	117531	117655	-	160910	124/124	100.0%	11509	124
Same_gi	127951	129978	160910	Same_gi	115664	117685	-	160910	1168/1790	65.3%	16597	2021
Same_gi	127981	130002	160910	Same_gi	115688	117715	-	160910	1168/1790	65.3%	16597	2027
Same_gi	128011	128135	160910	Same_gi	117591	117715	-	160910	124/124	100.0%	11509	124
Same_gi	128041	128135	160910	Same_gi	117621	117715	-	160910	94/94	100.0%	8725	94
Same_gi	128071	128135	160910	Same_gi	117651	117715	-	160910	64/64	100.0%	5941	64
Same_gi	129053	129954	160910	Same_gi	115664	116523	-	160910	499/759	65.7%	4530	859
Same_gi	129942	130002	160910	Same_gi	115712	115772	-	160910	50/60	83.3%	3875	60
Same_gi	147507	147553	160910	Same_gi	43814	43860	-	160910	41/46	89.1%	3644	46
Same_gi	152047	152114	160910	Same_gi	152047	152114	-	160910	64/66	97.0%	5136	67
Same_gi	152837	153068	160910	Same_gi	92574	92814	-	160910	158/201	78.6%	5746	240
Same_gi	152852	153092	160910	Same_gi	92598	92829	-	160910	158/201	78.6%	5746	231
Same_gi	158905	158971	160910	Same_gi	86592	86665	-	160910	63/66	95.5%	5064	73
Same_gi	159001	159074	160910	Same_gi	86695	86761	-	160910	63/66	95.5%	5064	66
